#OTU ID,BS00_1,BS00_2,BS00_3,BS00_4,BS00_5,BS00_6,BS01_1,BS01_2,BS01_3,BS01_4,BS01_5,BS01_6,BS03_1,BS03_2,BS03_3,BS03_4,BS03_5,BS03_6,BS07_1,BS07_2,BS07_3,BS07_4,BS07_5,BS07_6,BS14_1,BS14_2,BS14_3,BS14_4,BS14_5,BS14_6,BS21_1,BS21_2,BS21_3,BS21_4,BS21_5,BS21_6,BS28_1,BS28_2,BS28_3,BS28_4,BS28_5,BS28_6,BS35_1,BS35_2,BS35_3,BS35_4,BS35_5,BS35_6,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
ASV1,1722,1065,0,675,1673,2107,0,11200,0,1135,1381,3179,2694,2322,4171,3432,0,2726,2666,4186,3000,3304,6746,0,0,3781,2052,1340,1388,2101,5393,5061,5393,2540,7286,2515,2804,0,2003,2088,1349,2706,21512,118312,4896,8136,3373,18269,3235,31456,3212,1556,2615,4219,3688,860,4110,9625,5078,3503,0,6760,0,5538,5631,0,333520,722434,2584687,181148,52134,88111,13240352,103567,6738930,18287184,1580321,4173023,61051527,95198835,25232533,14925453,47019466,12739320,192055644,33133208,272088147,10335595,24843144,4783619,0,0,0,254,67,116,64,131,77,0,571,0,0,0,58,77,258,836,1170,0,1095,1711,34816,987,19095,15509,26326,86278,168165,266823,23894,115146,15438,1001846,374489,213798,30228,4061273,617537,633640,501622,4184068
ASV2,219617,89777,214708,120905,231941,166443,431651,174999,528674,578927,196500,168143,371075,283668,123867,89918,270502,175142,409002,272108,605144,185703,404267,197942,255505,147870,327670,134034,424407,203823,207441,425114,426022,302252,883285,723367,479132,161807,306528,184792,204339,258428,870366,175172,270677,65366,197634,190138,413656,335818,422327,331931,430228,420735,377996,656924,545401,287235,408767,216300,4770654,912572,10396787,3986526,6171841,3382337,367955870,259542346,145987819,314851136,104768180,34673506,4123061,10993,27034033,232462704,8168780,14967809,62695,62129,16860,24406,43439,115188,77495,0,1750647,18473,9792,3726,174,0,0,0,0,0,64,131,307,1945,143,0,36006,67,0,0,1162,7019,371699,5072615,802281,115648,164618,85996,1441,22245,55111,30310,102338,8451,121,2022,0,10000,4966,7442,284,248297,1566,4017,1081,241533
ASV3,48517,4613,23631,7092,71624,42840,76576,1400,0,0,0,2473,213149,13271,0,686,66049,8178,22930,87389,64286,31061,71097,42038,0,0,6499,12398,8329,30118,9127,75913,88081,0,0,10058,219763,0,42740,85262,12476,6089,356187,210842,32173,9538,56997,9135,110462,109247,47639,63274,72794,155515,81131,36137,198434,35968,93094,133545,508140,186317,3168213,423874,396747,897996,33993908,35396970,39457657,14241929,35325895,61929994,5278578,0,9710654,35440557,26825661,27050513,0,67167282,122232,1732835,0,953163,1403773,1643370,26820348,0,49309,0,348,0,0,0,134,0,0,0,384,169,1641,0,258548,0,5091,385,29897,0,310028,3111182,3388412,80196,3752729,0,7446,0,165477,84868,369784,65102,7422,2720360,1779,79846,0,17364,356,0,51983,72678,34865,0
ASV4,96172,47905,84060,95914,106097,114473,239569,46200,28157,489250,24174,34618,60948,58061,181838,32947,68372,21126,132246,91575,51857,225355,223670,87055,8504,146190,63619,74389,82591,56384,226110,76335,198930,306909,584142,108547,49771,32295,406700,125979,136900,24693,1499513,113367,99318,0,139288,48380,152983,161532,88855,107359,104615,101869,224954,73565,59883,63323,137525,41596,7282469,310950,8809904,2359999,4635024,2776684,121746896,107342004,50063225,216273814,9852139,18102595,2692953,14465,6112437,114996418,247280,6761569,23781,0,4215,46594,73847,103758,44283,49490,333879,10076,7344,0,87,0,0,0,0,0,64,65,921,507,928,1943,27534,333,1331,0,2712,84,407131,7236011,850182,85086,45491,240768,420,13473,32257,74436,28777,3130,0,1618,381,5231,6426,2016,213,58617,1409,5146,2838,60721
ASV5,619809,365851,234963,50996,459195,404519,1800615,139299,22273,590657,11396,353,1579259,438276,2502,1373,498189,14311,604172,294086,559715,7930,145827,845723,0,23525,8551,2011,694,96308,53105,673940,541665,17780,30000,35624,668050,56266,42406,128415,36754,17928,188673,163164,79035,13185,37773,76123,1440170,331567,380041,483374,186563,938517,1418562,1192100,4994912,663628,903858,872643,826330,329117,1304647,1704556,110577,6044296,1486078,381793,263921,203866,91524,258298,12545,2314,115407,24515,28423,79648,19457,321942,25289,11094,13901,930301,194845,14286,27331,10916,8393,651,87,0,0,64,0,58,0,0,4834,85,1213,59,3480,0,0,154,0,0,0,3012,2737,489,0,0,0,313,289,0,0,0,0,9843,0,154,0,1085,71,752,157,0,0,0
ASV6,5742,3549,3713,5066,2678,8779,3422,4900,3782,8324,2072,1766,24918,10617,24190,18876,4647,13630,1066,2093,0,9252,4671,4634,370,2100,2736,2346,1388,3852,13276,7591,8389,16933,43286,6287,0,2996,9016,5916,5058,12854,0,5298,2448,1964,3035,4737,14328,13603,16058,3112,0,3617,9219,4732,4110,0,10579,0,0,9295,4039,0,4607,16306,0,170321,690835,88481,0,0,4075670,62487,12729778,4577268,3109480,1798001,13516082,4843251,731286,7035620,26709899,11808140,11225756,16141348,18627766,5193408,4404964,1114843,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,258,167,0,63396,547,244,0,2084,10809,1880,45275,60761,308453,59624,6396,38831,3558,139538,39581,64496,1138,2585020,86117,76569,100000,2682565
ASV7,0,0,2363,0,0,0,2567,0,1681,0,0,706,1684,0,3754,0,332,0,533,0,0,0,1038,0,3328,4621,0,670,2082,0,3734,0,0,11853,8143,2096,0,0,0,1392,674,0,353,20484,0,281,0,0,2311,44209,0,0,1744,1808,1229,860,3523,0,0,0,0,3802,20701,0,11774,5241,5638131,125160514,74958237,3381427,0,0,2580050,104724,49542473,2087262,10519365,27114,0,0,455210,641215,0,3713290,0,5790824,23827260,26030,116804,655174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,491198,549475,12044,16381,0,439,420,27102,287850,40602,69784,1252,0,10517,64,2000,12415,41240,1351,1269138,443894,5021,15270,1304910
ASV8,0,0,9453,675,0,0,428,0,0,378,0,0,673,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,694,0,0,8013,7190,27516,35571,11735,0,333,0,0,2360,10148,0,15186,699,16271,2698,8120,0,425,535,0,0,0,0,0,0,507,0,1751,597426,13942,9088,0,0,0,91855,0,14109049,0,20854,26412794,0,16427749,245239,21888,11369,24572,13256656,0,6322,0,3304855,86172,64210,17857,181713,0,0,77824,0,84,0,0,0,0,0,0,230,0,0,0,0,133,0,0,5359,0,0,0,3761223,367,970,2084,0,2993420,14320,1410,3957,1878,483,6472,0,53077,0,1860,0,3607,59029,0,0,3607
ASV9,0,0,0,0,335,0,0,0,0,378,0,0,0,0,0,0,996,0,533,523,429,0,519,1324,0,0,0,0,6940,350,415,5483,0,0,0,1671372,0,0,0,348,3843320,2865032,0,9566656,0,1683,0,6231583,0,0,0,519,0,603,0,430,1174,0,846,0,0,0,0,0,2560,2329,28431,25148,0,0,0,0,0,1157,0,0,0,66091,0,16944,0,0,4344,16707,0,7143,0,0,699,11413,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,1213,0,154,0,1705,1636,451,783,251,0,601
ASV10,71770,28033,85410,58764,85346,71634,207911,42000,97078,88163,0,0,0,0,417,0,6638,256580,501788,0,714001,273598,0,0,0,533929,158362,482521,291151,470684,0,0,0,384377,0,0,0,1048413,302855,0,0,0,180210,357054,75538,0,2583070,117060,33740,39958,38539,1037,6103,22905,0,430,0,1520,0,13573,420605,2112,533169,110247,0,0,63424,465238,606729,2620965,9268,175015,2788,579,0,0,0,5084,0,0,0,0,2606,879,8857,8673,0,0,6645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0
