,Bodysite,Day,copies,Shannon
BS00_1,BS,0,6300218,5.1087984
BS00_2,BS,0,1949607,4.5583041
BS00_3,BS,0,6204953,3.909947
BS00_4,BS,0,2777428,5.2062767
BS00_5,BS,0,5383864,4.922029
BS00_6,BS,0,4457394,5.1955255
BS01_1,BS,1,8509861,4.4987096
BS01_2,BS,1,2452442,4.5175172
BS01_3,BS,1,5324456,4.7185255
BS01_4,BS,1,7387520,4.6409241
BS01_5,BS,1,2211192,4.0405911
BS01_6,BS,1,4769762,3.4525808
BS03_1,BS,3,14908315,4.4245543
BS03_2,BS,3,3552368,4.6946826
BS03_3,BS,3,4398294,3.4130012
BS03_4,BS,3,2158363,4.2516913
BS03_5,BS,3,9667461,4.9526346
BS03_6,BS,3,3781560,4.7604832
BS07_1,BS,7,9032082,4.7670757
BS07_2,BS,7,13449463,4.5358882
BS07_3,BS,7,9270911,4.6345132
BS07_4,BS,7,9351523,4.6464508
BS07_5,BS,7,12195544,5.1758829
BS07_6,BS,7,15107460,2.9425817
BS14_1,BS,14,4427933,3.1017393
BS14_2,BS,14,9807706,3.5741116
BS14_3,BS,14,3158993,4.7153702
BS14_4,BS,14,5441053,4.5665184
BS14_5,BS,14,9122478,3.2160047
BS14_6,BS,14,9494195,4.5705099
BS21_1,BS,21,8865636,4.2690098
BS21_2,BS,21,27460723,4.4515048
BS21_3,BS,21,18065468,3.454496
BS21_4,BS,21,10124611,4.051934
BS21_5,BS,21,6605204,3.9383193
BS21_6,BS,21,7648560,4.0580476
BS28_1,BS,28,24374255,3.0198084
BS28_2,BS,28,7593962,2.9145374
BS28_3,BS,28,7899634,3.9153702
BS28_4,BS,28,10395657,4.7319367
BS28_5,BS,28,8278383,2.6421685
BS28_6,BS,28,6852754,3.0998717
BS35_1,BS,35,17249012,4.2262801
BS35_2,BS,35,39869334,2.6009447
BS35_3,BS,35,9163508,4.1657734
BS35_4,BS,35,6968129,4.4668522
BS35_5,BS,35,8723891,3.5785382
BS35_6,BS,35,10964076,2.8947916
GS01_1,GS,1,12033886,5.0571147
GS01_2,GS,1,12108504,4.5939367
GS01_3,GS,1,9702291,5.0181138
GS01_4,GS,1,8523936,4.9355504
GS01_5,GS,1,11349452,5.0632468
GS01_6,GS,1,15099543,5.2837898
GS03_1,GS,3,16078721,4.9566917
GS03_2,GS,3,6805788,4.5994039
GS03_3,GS,3,22859851,4.5662947
GS03_4,GS,3,10054776,5.3067598
GS03_5,GS,3,10124765,5.3293592
GS03_6,GS,3,10515561,5.1387951
GS07_1,GS,7,64159154,3.7357624
GS07_2,GS,7,17248384,4.5803102
GS07_3,GS,7,73268257,3.5905534
GS07_4,GS,7,23751502,3.884323
GS07_5,GS,7,32516374,3.4696405
GS07_6,GS,7,67590286,3.4975812
GS14_1,GS,14,871908147,2.0969003
GS14_2,GS,14,922286186,2.4517357
GS14_3,GS,14,597220997,2.7208353
GS14_4,GS,14,990307889,1.6361003
GS14_5,GS,14,208003634,1.8516337
GS14_6,GS,14,278345193,2.6119393
GS21_1,GS,21,86691631,3.1087068
GS21_2,GS,21,29698747,1.8681495
GS21_3,GS,21,259108785,3.0575722
GS21_4,GS,21,554727580,2.1129616
GS21_5,GS,21,100336147,2.7208305
GS21_6,GS,21,206215152,3.1840787
GS28_1,GS,28,109618200,1.7733534
GS28_2,GS,28,490905163,2.1354832
GS28_3,GS,28,29571744,0.9666058
GS28_4,GS,28,31767903,1.9614083
GS28_5,GS,28,86199015,1.354503
GS28_6,GS,28,41367617,2.5856285
GS35_1,GS,35,213918185,0.579734
GS35_2,GS,35,96250123,2.2539908
GS35_3,GS,35,632572128,2.2751587
GS35_4,GS,35,20258908,1.6072339
GS35_5,GS,35,34187081,1.1637205
GS35_6,GS,35,10193674,2.0989076
MS01_1,MS,1,4177,3.0384142
MS01_2,MS,1,28443,2.7854816
MS01_3,MS,1,16794,1.9364296
MS01_4,MS,1,55286,1.9742099
MS01_5,MS,1,13218,1.9718322
MS01_6,MS,1,17492,3.2777155
MS03_1,MS,3,15345,1.9337586
MS03_2,MS,3,15084,2.4748468
MS03_3,MS,3,45876,3.6223097
MS03_4,MS,3,30110,3.1924064
MS03_5,MS,3,53021,3.2291121
MS03_6,MS,3,105659,2.7014713
MS07_1,MS,7,732369,2.5300148
MS07_2,MS,7,19725,2.9655636
MS07_3,MS,7,91988,2.616712
MS07_4,MS,7,10167,2.6320735
MS07_5,MS,7,59153,2.1556269
MS07_6,MS,7,38114,2.9367866
MS14_1,MS,14,2553087,2.6128319
MS14_2,MS,14,21926017,2.2086414
MS14_3,MS,14,14392063,2.1706811
MS14_4,MS,14,649867,2.5538218
MS14_5,MS,14,19868898,1.9130521
MS14_6,MS,14,1375944,2.2927531
MS21_1,MS,21,61906,2.6566047
MS21_2,MS,21,4875199,1.569583
MS21_3,MS,21,1932218,3.1521623
MS21_4,MS,21,1355924,2.8351633
MS21_5,MS,21,2473754,3.0953089
MS21_6,MS,21,702328,2.6244893
MS28_1,MS,28,66671,2.5443511
MS28_2,MS,28,17272173,2.2206762
MS28_3,MS,28,37048,2.5480737
MS28_4,MS,28,2631706,2.6321595
MS28_5,MS,28,607444,1.8620332
MS28_6,MS,28,759838,2.8569795
MS35_1,MS,35,211509,1.2376846
MS35_2,MS,35,12138732,2.2674794
MS35_3,MS,35,2685442,2.2283999
MS35_4,MS,35,1836544,2.5627063
MS35_5,MS,35,1119588,2.490894
MS35_6,MS,35,12572196,2.2949401
