Genera,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
Tissierella,174,0,0,0,134,116,283,0,384,0,214,118,832,733,0,0,2647,1420,3760,156709,137819,734,3518,114254,8226,15665,7739,228242,1419155,1205870,26926477,77661677,63854836,4543940,481475,54854082,42422926,314591842,74096216,85051897,38745713,365953715
Romboutsia,0,0,0,407,0,0,0,38607,0,0,285,612,0,0,0,5978,0,0,0,568680163,0,0,16353,0,0,206037,0,5865,0,0,25197,0,6506,0,3155,5643,35619,147295,8330,16519,249027,128477
Morganella,946,0,0,0,384,0,0,0,0,918,11132,9457,15345,0,0,0,64240,13084,0,75699,16619,7789,4524453,21111007,37588292,2730,15291,194710,80884223,32237514,4255890,31054151,43985078,87454420,354625,19550122,23231823,32494604,45345049,36886659,31932085,35518565
Proteus,371,0,0,735,245,0,503,516,0,12285,33581,4833,958259,2551,66856,562,63794,4318,7010,208091,7488,19028560,12940704,11510151,3515434,34091028,4007439,22775584,82143850,4466055,4138691,95568263,8191988,30035507,25473071,15363316,33523508,27313394,19479518,14325029,11815871,29538658
Clostridium,71,137,0,233,514,236,0,12157,3087,0,58,216,0,0,50986,1378,289,5129,611,208001,37884745,497,4734,134,0,6168882,16878821,36850,74721,14671025,7081425,121876285,46177,610068,27846,12952,718900,75383513,76496968,4871619,9033346,86039976
Pseudomonas,2821,2863,0,2215,7877,8470,1598,5341,4286,5340,1677,3290,3335635,14507,365777,11851,29489,27675,8196623,40063764,16515149,363926,653700,349539,7731,1018013,49837,1256298,152768,27751,0,19106,11781,157647,179113,85617,3628,160219,45071,42840,218514,196905
Sporosarcina,0,0,0,608,321,0,670,719,808,0,0,169,0,295,0,0,3676,720,1519,8105899,9537569,4651,24174,340611,117980,3050752,93496,298126,1781274,1260411,63065,392301,258932,1254376,199115,2991414,20793,2248166,657021,222708,588517,2543605
Paeniclostridium,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,17582,0,0,0,0,0,0,0,0,0,0,0,27427607,981287,1401978,0,0,3564,0,0,0,0,0,0,0
Stenotrophomonas,3699,2727,0,5189,44693,13187,0,3721,2143,8408,3030,329,18679,4242,3038,1463,0,3268,1768600,4382556,11112297,53543,207989,166495,30326,646936,74748,716071,0,147227,0,0,40249,632488,209293,0,9854,438895,191565,0,690473,444688
Mammaliicoccus,0,0,0,637,0,1117,4679,2781,9931,1130,1371,3639,12191,0,19999,3474,1456,3001,297277,1182003,1551647,18529,332678,483136,31992,654039,212895,560967,1219718,541034,195248,964031,192162,238767,123675,563383,11047,3799875,402130,213782,177905,4295083
Achromobacter,707,781,3350,4057,10583,4381,517,2044,534,3333,1407,0,4561,0,1878,714,0,2519,211796,2014724,3056649,4890,92815,8775,20817,73834,0,6999196,85705,182531,0,0,27181,300825,456711,150635,12782,118237,431152,26560,3841375,115361
Vagococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,391,0,0,0,0,0,0,0,1568084,24714,345643,75914,6211840,6263,0,153764,2794822,2591098,21329,0,3229275
Jeotgalicoccus,146,0,0,0,112,971,3775,1145,11405,1836,834,2705,2590,1669,1063,2059,2858,837,48011,890491,796081,4798,451152,756237,20559,496334,49162,573269,833947,417994,45499,448181,109026,804368,115016,223269,69312,2575694,500586,323687,440050,3002748
Enterococcus,0,0,2741,866,385,458,0,983,4895,0,563,1441,1030,0,15716,1546,0,0,0,91970,0,789,9000,14782,395284,2686775,36395,24305,130541,17613,334389,783908,113857,152798,456695,133200,584744,1865720,1059331,763216,1270997,2325578
Lysinibacillus,0,0,0,0,0,0,0,421,1600,0,0,335,5048,0,7676,0,783,2946,28040,5710383,5822819,3546,125288,673544,6489,15294,4004,194696,257459,120420,0,0,0,23857,19964,15959,0,0,0,0,19111,0
Escherichia-Shigella,0,309,29093,2541,1149,3085,1126,10992,21708,443,1669,2285,4618,1257,16896,9711,0,2861,3242,0,15247,865,10833,118295,0,6469344,54489,47827,185039,3944823,6163,98210,1318646,12158,70674,73649,15584,153835,0,0,5136,137260
Corynebacterium,159,1002,0,291,184,106,4546,2152,17417,1548,392,1887,0,0,0,3173,0,1377,3213,286381,203006,1958,218636,95030,27482,52195,16815,201756,166686,558725,7898,1371949,191789,1269002,136565,66699,49608,1767150,744902,419617,726575,1762266
Psychrobacter,0,0,0,175,0,0,0,240,282,1008,196,0,2013,0,0,3250,1481,997,4140,0,391749,2356,91561,619140,0,2156,0,53869,726687,223183,19762,160994,536646,774059,45224,110377,61467,1007497,195721,45372,943466,1128840
Psychrobacillus,0,0,0,0,0,0,1126,683,2190,1530,258,1941,7846,2758,5116,1208,545,739,1376924,1848897,739519,11402,122530,50380,4345,1095441,134588,17711,69231,48317,4778,37970,0,34542,21050,0,0,14955,0,12464,6302,24169
Paenalcaligenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,978,11403,228665,0,0,0,0,55755,592175,104827,251955,38035,388513,2240,566202,27786,167836,1684656,10711,331801,84870
Flavobacterium,143,0,0,156,385,95,0,107,692,347,0,532,1074,0,0,0,0,342,3082,3913912,124984,0,0,584,0,0,1364,4044,0,0,0,0,3385,17465,1856,0,0,156091,6417,16067,75820,145742
Glutamicibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,0,0,0,0,1958935,0,0,0,0,0,0,0,0,0,0,0,1427665,0,118087,40363,0,0,0,0,0,0,0
Bacteroides,316,611,0,0,292,0,0,142,0,0,0,214,0,193,0,0,0,303,0,0,0,0,0,0,0,3287145,6825,0,0,0,4686,0,0,1413,1007,2645,1652,12221,22393,0,1815,7583
Savagea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54402,0,10598,0,0,0,3273182,0,0,0
Sphingobacterium,64,0,0,0,0,0,328,96,0,124,262,43,0,0,0,963,0,184,246,2156398,63449,1078,1784,0,1325,0,1223,0,0,0,0,627101,0,31278,644,0,0,0,119907,6738,244735,0
Muribaculaceae_genus,0,0,0,0,0,0,0,7731,1018,0,73,841,0,0,0,2437,0,0,0,0,0,0,0,0,0,2412851,4501,0,0,0,5418,0,0,17269,3502,27764,0,10276,0,10503,12410,7055
Lachnospiraceae_genus,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,0,0,0,0,0,0,0,0,0,0,17017,0,2078926,0,0,0
Microbacterium,0,1047,0,395,0,0,0,677,1431,0,0,0,7502,0,831,479,927,0,30655,639640,559643,1009,38467,7843,3734,100976,31178,133088,0,5618,1114,0,38185,76844,16195,3688,25207,140644,31797,3360,73519,65572
Lactobacillus,0,0,0,285,150,260,0,17934,0,126,0,264,0,0,0,2760,0,1060,0,0,0,0,0,0,0,297592,0,8101,0,60262,99873,0,13750,15901,21581,30487,51007,592791,17235,72926,149607,511751
Paenarthrobacter,0,1365,0,0,0,0,1721,0,933,0,0,3024,7769,3240,4456,0,2356,2033,46526,817102,571673,9499,56065,11191,0,32708,22577,16289,0,60800,0,0,36832,102495,6809,0,0,0,88656,0,0,0
Rhodococcus,0,0,0,119,567,109,0,552,144,318,335,332,1918,0,1739,579,0,1648,11142,440856,203814,2583,102516,42845,2086,31038,24651,18929,14101,91399,7082,148884,23206,292741,32022,34502,15494,31754,88354,30173,124667,33024
Loigolactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720749,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,0,0,0,0,0,0,0,1480,0,0,0,0,0,0,405,1822,0,0,7855,0,8143,23472,8795,7751,18815,813055,0,44408,135881,199113,18665,62922,94854,19846,13169,55607,0,0,127455,0,0,13928
