,AA_Ascomycota,AA_Mortierellomycota,AA_Basidiomycota,AA_Mucoromycota,AA_Chytridiomycota,RA_Ascomycota,RA_Mortierellomycota,RA_Basidiomycota,RA_Mucoromycota,RA_Chytridiomycota,Type,Day
GS01_1,8127057,1049160,1014954,113697,114619,0.683985003,0.08677022,0.087305838,0.01178361,0.00803428,GS,1
GS01_2,8019212,893104,2289927,66737,92242,0.679700054,0.072844135,0.174611676,0.006427424,0.00803428,GS,1
GS01_3,6630389,900856,890158,19269,166468,0.671665774,0.096946974,0.097482592,0.002142475,0.020889127,GS,1
GS01_4,6043242,695499,976606,9335,205904,0.70862346,0.069094804,0.116764863,0.002678093,0.023031601,GS,1
GS01_5,8360916,937177,1084082,17002,82388,0.753079807,0.080342796,0.092126406,0.000535619,0.00374933,GS,1
GS01_6,10131433,1016276,2428582,31948,239307,0.678093198,0.064274237,0.16122121,0.002142475,0.010712373,GS,1
GS03_1,11076841,1147511,2620781,110019,110635,0.69683985,0.061596144,0.172469202,0.006427424,0.004820568,GS,3
GS03_2,4573049,904292,769631,4732,115722,0.660417783,0.125334762,0.120514194,0.000535619,0.018746652,GS,3
GS03_3,17917797,1324462,1498231,22895,275931,0.823245849,0.049276915,0.062131762,0.000535619,0.012854847,GS,3
GS03_4,6324745,791289,1623613,37996,156538,0.612212105,0.076057847,0.200321371,0.001606856,0.012854847,GS,3
GS03_5,6356193,1182715,1098076,16926,197188,0.645956079,0.126941618,0.106052491,0.001071237,0.016604178,GS,3
GS03_6,7497832,616062,1176523,11822,344596,0.718800214,0.062667381,0.114622389,0.001606856,0.025709695,GS,3
GS07_1,19256802,40269571,2335433,1036414,222773,0.262988752,0.67702196,0.034815212,0.01178361,0.002678093,GS,7
GS07_2,7973990,4089671,1233232,3227379,152514,0.440278522,0.260846277,0.057311194,0.215854312,0.007498661,GS,7
GS07_3,23023179,46042339,1668676,1053209,460968,0.281199786,0.668452062,0.023031601,0.012319229,0.004820568,GS,7
GS07_4,10083358,12043142,1101967,48830,57388,0.438136047,0.491697911,0.045527584,0.001071237,0.001606856,GS,7
GS07_5,9347371,20141418,1485120,72695,103413,0.28334226,0.607391537,0.053026245,0.003213712,0.005891805,GS,7
GS07_6,25461308,29281556,1939841,9072559,612061,0.363149438,0.441349759,0.028923407,0.139796465,0.012854847,GS,7
GS14_1,102606115,747747881,653918,20306458,121380,0.109266202,0.865024103,0.001071237,0.024102839,0,GS,14
GS14_2,193958608,717880871,393221,9697987,0,0.221210498,0.766470273,0.001606856,0.010712373,0,GS,14
GS14_3,178189675,386240720,828305,31479698,73086,0.282806642,0.653990359,0.001606856,0.061060525,0,GS,14
GS14_4,60282780,928602829,590674,633121,25110,0.050883771,0.948044992,0.000535619,0,0,GS,14
GS14_5,77908825,125717877,386949,3630834,27805,0.369041243,0.612747724,0.001606856,0.015532941,0,GS,14
GS14_6,108951111,80072418,1242003,87582377,78455,0.391001607,0.269416176,0.004820568,0.333690412,0,GS,14
GS21_1,70731837,15431513,186780,248109,2788,0.80717729,0.188002142,0.001071237,0.003213712,0,GS,21
GS21_2,8929874,356987,47446,20319887,1736,0.276914837,0.009641136,0.001606856,0.711301553,0,GS,21
GS21_3,115472706,138807542,362706,4342179,0,0.4252812,0.558114622,0,0.016604178,0,GS,21
GS21_4,196847911,357476053,140960,84926,0,0.383502946,0.616497054,0,0,0,GS,21
GS21_5,79564600,19492516,221699,818583,2842,0.804499197,0.188537761,0.002142475,0.00374933,0,GS,21
GS21_6,177602189,27871561,281308,306728,11015,0.868237815,0.127477236,0.002678093,0.001606856,0,GS,21
GS28_1,90714706,890697,229159,17623656,0,0.818425281,0.009641136,0.002678093,0.167648634,0,GS,28
GS28_2,484827807,564810,1118324,4010155,31064,0.990894483,0.000535619,0.003213712,0.004820568,0,GS,28
GS28_3,28201912,615376,166483,33718,96942,0.943224424,0.021960364,0.006963042,0.00374933,0.002142475,GS,28
GS28_4,30709563,834246,173061,6656,4438,0.972147831,0.022495983,0.004820568,0.000535619,0,GS,28
GS28_5,81118368,463930,158119,4338708,2606,0.933583289,0.006427424,0.003213712,0.056239957,0,GS,28
GS28_6,36233379,4143269,509114,181136,15826,0.865559721,0.102838779,0.019282271,0.00374933,0.000535619,GS,28
GS35_1,212304072,314408,1011869,77495,11070,0.99625067,0.001071237,0.002142475,0.000535619,0,GS,35
GS35_2,88261850,7532153,300000,47959,4082,0.923942153,0.073379754,0.002678093,0,0,GS,35
GS35_3,461673567,147186533,347913,23239279,0,0.741831816,0.224959829,0.002142475,0.031065881,0,GS,35
GS35_4,18201696,1997594,30228,5877,0,0.89769684,0.098018211,0.001606856,0,0.000535619,GS,35
GS35_5,30882658,2662703,503585,89176,3847,0.888591323,0.094804499,0.014997322,0.001071237,0.000535619,GS,35
GS35_6,8994797,1063631,25546,104554,1301,0.883770755,0.100160686,0.004284949,0.01178361,0,GS,35
MS01_1,2175,522,1306,0,0,0.524906267,0.129619711,0.302624531,0.004284949,0,MS,1
MS01_2,18263,505,8751,84,0,0.652919122,0.012319229,0.302088913,0.001606856,0,MS,1
MS01_3,11946,173,4414,174,0,0.700589181,0.006963042,0.277986074,0.009105517,0,MS,1
MS01_4,43576,6553,4647,0,0,0.785752544,0.124799143,0.081949652,0,0,MS,1
MS01_5,11274,0,1743,201,0,0.838243171,0.004820568,0.136047134,0.017139796,0,MS,1
MS01_6,10808,174,4766,0,1686,0.625602571,0.011247991,0.254418854,0.001606856,0.09855383,MS,1
MS03_1,6302,192,8787,0,0,0.402785217,0.01178361,0.582217461,0,0.002678093,MS,3
MS03_2,3853,783,9665,587,0,0.249598286,0.052490627,0.648634172,0.040171398,0,MS,3
MS03_3,31453,2378,10358,383,0,0.702196036,0.044991966,0.223352973,0.004820568,0,MS,3
MS03_4,16408,8371,4737,0,254,0.534547402,0.269416176,0.172469202,0,0.00803428,MS,3
MS03_5,40178,3996,5851,2925,0,0.774504553,0.064274237,0.107123728,0.053561864,0,MS,3
MS03_6,49178,17609,37987,177,0,0.475093733,0.158543117,0.359400107,0.002142475,0,MS,3
MS07_1,379271,158545,185022,8623,0,0.486341725,0.245848956,0.254954472,0.012319229,0,MS,7
MS07_2,12996,467,5528,533,67,0.659882164,0.024102839,0.272094269,0.028923407,0.003213712,MS,7
MS07_3,33500,10009,24934,23255,58,0.366898768,0.109266202,0.272094269,0.249598286,0,MS,7
MS07_4,9243,154,308,0,0,0.895554365,0.020889127,0.029459025,0,0,MS,7
MS07_5,37584,8394,4844,8136,0,0.640064274,0.133369041,0.075522228,0.146759507,0,MS,7
MS07_6,18391,8691,2759,8273,0,0.478307445,0.230851634,0.056775576,0.23245849,0,MS,7
MS14_1,909855,1602952,36268,4012,0,0.356186395,0.623460096,0.017675415,0.002678093,0,MS,14
MS14_2,5929757,14939617,104612,941488,0,0.252811998,0.700053562,0.005891805,0.040707017,0,MS,14
MS14_3,4257619,3019981,79927,7031114,547,0.272094269,0.2126406,0.00374933,0.510980182,0,MS,14
MS14_4,217107,421516,1832,1467,122,0.310658811,0.673808249,0.001071237,0.002142475,0,MS,14
MS14_5,10924338,464983,15770,8457257,485,0.522763792,0.021424746,0.000535619,0.455275844,0,MS,14
MS14_6,795465,509508,56601,12724,0,0.574183182,0.377075522,0.034279593,0.013390466,0,MS,14
MS21_1,57345,2761,960,780,0,0.921799679,0.044991966,0.017675415,0.012854847,0,MS,21
MS21_2,885120,77389,4230,3907520,0,0.141403321,0.015532941,0,0.843063739,0,MS,21
MS21_3,1283756,614467,5642,26470,434,0.655061596,0.330476701,0.002142475,0.01178361,0,MS,21
MS21_4,1166872,186937,141,1833,0,0.845741832,0.150508838,0,0.00374933,0,MS,21
MS21_5,2231665,221764,10791,7734,0,0.915907874,0.07873594,0.002678093,0.002678093,0,MS,21
MS21_6,680268,16119,2032,3129,0,0.9683985,0.02356722,0.002678093,0.003213712,0,MS,21
MS28_1,62507,2716,724,664,0,0.935725763,0.041242635,0.010712373,0.010712373,0,MS,28
MS28_2,17098648,39505,15100,112718,0,0.989287627,0.004284949,0.001071237,0.005356186,0,MS,28
MS28_3,31771,1844,1588,128,255,0.852169255,0.056775576,0.043920728,0.001071237,0.010712373,MS,28
MS28_4,2494164,44309,5231,85692,462,0.943760043,0.020889127,0.004284949,0.028923407,0.000535619,MS,28
MS28_5,569325,29065,7448,438,0,0.942688806,0.046063203,0.009641136,0.000535619,0,MS,28
MS28_6,689297,62791,3565,2945,155,0.911087306,0.079807177,0.002678093,0.004820568,0.000535619,MS,28
MS35_1,206605,3270,355,71,0,0.974290305,0.014997322,0.00374933,0.000535619,0,MS,35
MS35_2,10393442,1705009,14580,13677,7966,0.856989823,0.139796465,0.001606856,0.000535619,0.001071237,MS,35
MS35_3,2048019,497757,626,98955,13153,0.76754151,0.185324049,0,0.035886449,0.003213712,MS,35
MS35_4,1762101,24729,2261,45690,0,0.970005356,0.01178361,0,0.016604178,0,MS,35
MS35_5,1004319,99054,1891,13514,0,0.893947509,0.094268881,0.001071237,0.010176754,0,MS,35
MS35_6,10772498,1751001,18337,14128,11723,0.861274772,0.135511516,0.000535619,0,0.001606856,MS,35
