,AA_Ascomycota,AA_Basidiomycota,AA_Mortierellomycota,AA_Chytridiomycota,AA_Mucoromycota,RA_Ascomycota,RA_Basidiomycota,RA_Mortierellomycota,RA_Chytridiomycota,RA_Mucoromycota,Day
BS00_1,4237868,672338,540862,125161,13491,0.684520621,0.108194965,0.08677022,0.017675415,0.001606856,0
BS00_2,1190548,227463,168910,58908,3904,0.59453669,0.115693626,0.08677022,0.0316015,0.001071237,0
BS00_3,4918025,313626,430429,61108,30046,0.788430637,0.043920728,0.068023567,0.007498661,0.003213712,0
BS00_4,1628497,265448,284027,38161,2364,0.581681843,0.095875736,0.117300482,0.013926085,0,0
BS00_5,3728132,454516,549226,36147,17404,0.674879486,0.093197643,0.112479914,0.008569898,0.005356186,0
BS00_6,2719260,524955,410487,90592,6671,0.608998393,0.115693626,0.112479914,0.018746652,0.002142475,0
BS01_1,6102595,709732,1113137,52621,2995,0.719871452,0.087305838,0.123727906,0.006427424,0.002142475,1
BS01_2,1595295,278248,319549,29400,8050,0.64167113,0.111408677,0.12587038,0.014461703,0.002678093,1
BS01_3,2531540,1138029,782921,28572,5463,0.495447242,0.209962507,0.139260846,0.005356186,0.000535619,1
BS01_4,3983986,1085959,1345909,214917,2648,0.536154258,0.138189609,0.193358329,0.024102839,0.001071237,1
BS01_5,818792,784960,261079,15884,66650,0.410819497,0.312265667,0.096411355,0.009105517,0.029994644,1
BS01_6,1304149,2714305,259279,11300,13070,0.281735404,0.565077665,0.049812533,0.003213712,0.002142475,1
BS03_1,12086880,687933,815558,354906,39397,0.806106052,0.048741296,0.05516872,0.026245313,0.001606856,3
BS03_2,2213955,429983,516243,104183,332,0.61810391,0.128012855,0.151044456,0.028387788,0,3
BS03_3,2687529,986346,359922,27941,0,0.620246385,0.18907338,0.077129084,0.006427424,0,3
BS03_4,1182662,349374,344230,29515,0,0.53561864,0.162292448,0.161756829,0.016604178,0,3
BS03_5,6542541,1809884,524413,120818,7967,0.676486342,0.185859668,0.054097483,0.011247991,0.000535619,3
BS03_6,2016163,686935,525768,57586,6133,0.524370648,0.179967863,0.134975897,0.014461703,0.001071237,3
BS07_1,6207515,972640,826534,76784,14930,0.721478307,0.106588109,0.093733262,0.006963042,0.002142475,7
BS07_2,10377790,1403972,582942,55992,3663,0.770219604,0.107659347,0.040707017,0.001606856,0.000535619,7
BS07_3,6193308,893150,1033715,83573,11144,0.676486342,0.097482592,0.113015533,0.006427424,0.001071237,7
BS07_4,6827049,1109588,525717,83931,1322,0.76379218,0.108194965,0.057311194,0.007498661,0,7
BS07_5,6377483,3039019,932565,163475,17126,0.502945903,0.29512587,0.071237279,0.013926085,0.000535619,7
BS07_6,6338102,7629711,441231,62560,6620,0.420460632,0.503481521,0.028387788,0.003213712,0,7
BS14_1,1444306,2172346,309860,9616,25513,0.333154794,0.434386717,0.078200321,0.004284949,0.006427424,14
BS14_2,4265537,4327301,433947,33604,38647,0.409212641,0.507230852,0.035886449,0.003213712,0.001071237,14
BS14_3,1523057,696382,463116,15048,5130,0.480985538,0.208891269,0.16550616,0.002678093,0.001606856,14
BS14_4,3046233,1095048,337429,45235,2010,0.572040707,0.222817354,0.053561864,0.004284949,0.000535619,14
BS14_5,4503634,3602086,600345,59687,3123,0.469737547,0.441885378,0.057311194,0.005891805,0,14
BS14_6,6355616,1877132,665050,45876,4202,0.688269952,0.197643278,0.068559186,0.001071237,0.000535619,14
BS21_1,3904467,3196662,634352,48129,40658,0.435457954,0.392072844,0.066416711,0.003213712,0.005356186,21
BS21_2,21604036,3950853,743950,126946,24459,0.787895019,0.147295126,0.029994644,0.004284949,0.001606856,21
BS21_3,6102118,10034585,819687,58719,55124,0.313336904,0.577932512,0.051419389,0.003213712,0.004820568,21
BS21_4,4984633,3662584,769601,20318,44449,0.471880021,0.403320836,0.065881093,0.001071237,0.004820568,21
BS21_5,3151306,1230004,1574998,163289,43714,0.492769148,0.177825388,0.231387252,0.020889127,0.006963042,21
BS21_6,4482276,1404402,958066,39812,15507,0.597750402,0.184788431,0.115158007,0.00374933,0.002678093,21
BS28_1,8330949,13950878,1002077,101988,112509,0.350830209,0.557043385,0.039635779,0.005356186,0.007498661,28
BS28_2,3412937,3465861,332271,13652,333,0.478307445,0.433315479,0.038564542,0.001606856,0,28
BS28_3,2735718,3391841,1078860,31722,4675,0.33476165,0.41349759,0.143545795,0.005356186,0.000535619,28
BS28_4,7764386,1494691,458326,75517,11832,0.752544189,0.152651312,0.038028923,0.005356186,0.000535619,28
BS28_5,6463978,1037201,409012,37088,3034,0.757900375,0.134440279,0.051419389,0.006963042,0,28
BS28_6,4388548,1629723,346037,82538,41606,0.631494376,0.241028388,0.052490627,0.012319229,0.005891805,28
BS35_1,12357235,1431809,2826225,82174,11638,0.717728977,0.079271559,0.161756829,0.006963042,0.000535619,35
BS35_2,15931488,22225311,740949,124672,96062,0.414568827,0.544724156,0.016068559,0.00374933,0.002142475,35
BS35_3,5530696,348311,2353561,17484,532612,0.595072309,0.048741296,0.259239422,0.002142475,0.054097483,35
BS35_4,4341948,1982033,124561,37314,42923,0.621317622,0.299410819,0.015532941,0.00803428,0.00374933,35
BS35_5,5100041,2678848,483292,34737,5059,0.585431173,0.304231387,0.057311194,0.00374933,0.000535619,35
BS35_6,8872551,853591,386367,34848,153599,0.819496518,0.065345474,0.036422067,0.001071237,0.017139796,35
