"","x"
"1",21.0976197538701
"2",17.4093875402686
"3",21.2330600496863
"4",20.0294689250989
"5",19.5198894052299
"6",19.5471238064951
"7",23.4556024385923
"8",17.026637690198
"9",19.5254707776611
"10",16.7337491940367
"11",17.9756926222397
"12",18.2088031226555
"13",12.3415786349161
"14",14.5027583631896
"15",18.0219686284737
"16",18.9380960860669
"17",14.7338774721626
"18",14.9268187467457
"19",4.67367163131466
"20",2.94074268343023
"21",1.57439365217396
"22",3.53033755761689
"23",-0.587189401235184
"24",-5.36662981752813
"25",-13.9565057778156
"26",-12.1878278775417
"27",-9.21104484642653
"28",-14.0382962982096
"29",-18.7409474803339
"30",-18.1452014812337
"31",-19.9019439376329
"32",-17.1729673458341
"33",-19.5816118728374
"34",-18.2744080773494
"35",-14.3644431259106
"36",-21.8890450346308
"37",-24.6518267401197
"38",-21.3145051977077
"39",-25.617973694092
"40",-20.953353210996
"41",-18.8252299080465
"42",-23.1657976566412
