,ID,IncMSE
1,B Pyridines.and.derivatives,9.250644499
2,B Benzopyrans,7.87153524
3,B Pyrimidine.nucleosides,7.291704616
4,B Coumarins.and.derivatives,6.657477427
5,B Flavin.nucleotides,6.383349481
6,B Organic.carbonic.acids.and.derivatives,6.382374849
7,B Organic.sulfonic.acids.and.derivatives,5.844421657
8,B Lactams,5.500076916
9,B Tetracyclines,5.300255463
10,B Linear.1.3.diarylpropanoids,5.272118051
11,B Macrolactams,5.102874825
12,B Glycerophospholipids,4.947623419
13,B Hydroxy.acids.and.derivatives,4.646563049
14,B Cinnamic.acids.and.derivatives,4.505373615
15,B Plumeran.type.alkaloids,4.333819099
16,B Pyrimidine.nucleotides,4.061444341
17,B Sphingolipids,3.941507634
18,B Oxepanes,3.747130053
19,B Keto.acids.and.derivatives,3.740791276
20,B Purine.nucleotides,3.473711946
