"","rownames(VIP_mean)","VIP"
"Lactams","Lactams",10.6109475440044
"Tetracyclines","Tetracyclines",6.7702484504884
"Tetrahydroisoquinolines","Tetrahydroisoquinolines",6.57943103684493
"X5..deoxyribonucleosides","X5..deoxyribonucleosides",5.86577352903903
"Azolines","Azolines",5.62452833421846
"Isoquinolines.and.derivatives","Isoquinolines.and.derivatives",5.57446836910334
"Peptidomimetics","Peptidomimetics",5.38377457838714
"Pyrimidine.nucleotides","Pyrimidine.nucleotides",5.21655605052084
"Keto.acids.and.derivatives","Keto.acids.and.derivatives",4.75069332798071
"Pyrimidine.nucleosides","Pyrimidine.nucleosides",4.68912359623083
"Nucleoside.and.nucleotide.analogues","Nucleoside.and.nucleotide.analogues",4.62893602632606
"Flavin.nucleotides","Flavin.nucleotides",4.49327474074226
"Cinnamaldehydes","Cinnamaldehydes",4.19058423083995
"Purine.nucleosides","Purine.nucleosides",4.15667308164625
"Benzopyrans","Benzopyrans",4.00453328605229
"Indanes","Indanes",3.95318435637754
"Coumarins.and.derivatives","Coumarins.and.derivatives",3.70392772092088
"Organic.carbonic.acids.and.derivatives","Organic.carbonic.acids.and.derivatives",3.54805778302915
"Sphingolipids","Sphingolipids",3.43176646600511
"Endocannabinoids","Endocannabinoids",3.37342313518563
