"","rownames(VIP_mean)","VIP"
"Pyridines.and.derivatives","Pyridines.and.derivatives",9.25064449885849
"Benzopyrans","Benzopyrans",7.87153524032288
"Pyrimidine.nucleosides","Pyrimidine.nucleosides",7.29170461556938
"Coumarins.and.derivatives","Coumarins.and.derivatives",6.65747742712161
"Flavin.nucleotides","Flavin.nucleotides",6.38334948057241
"Organic.carbonic.acids.and.derivatives","Organic.carbonic.acids.and.derivatives",6.38237484873719
"Organic.sulfonic.acids.and.derivatives","Organic.sulfonic.acids.and.derivatives",5.84442165671392
"Lactams","Lactams",5.5000769159526
"Tetracyclines","Tetracyclines",5.30025546333835
"Linear.1.3.diarylpropanoids","Linear.1.3.diarylpropanoids",5.27211805103125
"Macrolactams","Macrolactams",5.10287482482329
"Glycerophospholipids","Glycerophospholipids",4.94762341860848
"Hydroxy.acids.and.derivatives","Hydroxy.acids.and.derivatives",4.64656304874255
"Cinnamic.acids.and.derivatives","Cinnamic.acids.and.derivatives",4.5053736147347
"Plumeran.type.alkaloids","Plumeran.type.alkaloids",4.33381909936975
"Pyrimidine.nucleotides","Pyrimidine.nucleotides",4.06144434082953
"Sphingolipids","Sphingolipids",3.94150763413843
"Oxepanes","Oxepanes",3.7471300533524
"Keto.acids.and.derivatives","Keto.acids.and.derivatives",3.74079127606332
"Purine.nucleotides","Purine.nucleotides",3.47371194629318
