"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Steroidobacter",0,0,4759,5089,0,0,0,0,2762,1353,0,2356,0,0,0,0,1808,0,0,0,45164,0,0,0,0,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratia",3276,1487,0,3443,29637,8746,0,1154,2579,4481,813,470,0,0,0,0,0,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subgroup_2_genus",1015,8173,0,988,4691,3386,0,0,0,6568,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16763,0,0,0,10856,0,0,0,0,0,0,0,0,0
"Bryobacter",1691,5230,5610,3706,782,451,0,5578,1192,2626,554,2515,2644,0,0,897,0,2596,0,0,0,475,0,0,0,0,0,0,0,6989,0,0,0,0,0,0,8839,0,0,0,0,0
"Acidiferrimicrobium",0,674,0,0,0,0,0,0,768,1014,286,236,0,533,0,0,0,0,0,0,3969,0,0,0,2642,0,0,0,0,0,0,20224,0,0,0,0,0,0,0,0,0,0
"Opitutus",0,0,0,636,1790,1939,0,0,0,1128,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13765,0,0,0,0,0,0,0,0,0
"Terriglobales_genus",1015,2943,0,3211,1303,1355,0,0,0,7552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cutibacterium",1056,0,0,1079,1139,1127,0,2216,744,1435,346,428,1650,0,0,0,0,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subgroup_13_genus",0,5230,0,1483,1825,0,0,0,0,5911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharimonadales_genus",0,0,0,465,537,930,0,0,2148,4183,0,686,0,0,0,0,0,0,0,0,0,0,4610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YC-ZSS-LKJ147",0,0,0,0,0,0,0,0,1838,0,0,0,544,0,416,0,0,0,0,0,7212,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0,0,0,0,0,0
"Pseudolabrys",0,0,0,0,0,1615,0,0,1535,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6275,0,0,0,0,0,0,0,0,0,0,0
"Ferruginibacter",716,0,0,1568,0,398,0,0,4205,348,0,1110,0,0,0,0,0,0,0,0,0,837,0,0,0,1180,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0
"Granulicella",1628,0,0,713,752,698,0,4394,287,2213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eremiobacteria_genus",477,0,0,0,0,0,0,0,982,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6655,0,0,0,0,0,0
"Gemmatimonas",0,0,0,0,0,837,0,0,1654,405,0,141,0,0,0,0,0,0,0,0,7212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADurb.Bin063-1",0,0,0,0,0,0,0,279,821,0,0,126,0,0,0,0,0,0,0,0,8636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC-I-84_genus",0,650,0,203,311,186,0,0,0,451,0,126,0,0,0,246,0,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4405,0,1353,0,0,0,0,0,0,0
"JG30-KF-AS9_genus",0,0,0,0,245,106,0,0,140,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6655,0,0,0,0,0,0
"Micropepsaceae_genus",177,0,0,129,681,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7308,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodanobacter",174,0,0,0,256,0,0,0,0,3044,0,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0
"HSB_OF53-F07",0,0,0,582,307,1063,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellin6067",0,0,0,251,0,687,0,0,0,500,0,580,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,5508,0,0,0,0,0,0,0,0,0
"Pseudonocardia",0,0,0,0,0,385,0,361,933,0,315,390,0,0,767,0,0,0,0,0,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,1773,0,0,0,0,0,0,0
"Phenylobacterium",0,0,0,763,1074,0,0,0,2455,0,0,2120,0,0,0,0,0,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermus",1078,521,0,0,1107,479,0,942,0,697,0,0,0,0,0,0,0,2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elsterales_genus",0,0,0,0,164,142,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5879,0,0,0,0,0,0
"Lactococcus",0,526,0,0,652,0,0,1043,373,352,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338,0,0,0,0,0,0
"Armatimonadota_genus",159,0,0,382,0,232,0,392,461,338,0,236,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0
"Saprospiraceae_genus",522,1010,816,814,671,138,0,0,246,676,286,610,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinophagaceae_genus",0,923,0,435,276,1036,0,0,0,2085,196,0,0,639,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermodesulfovibrionia_genus",0,0,0,1781,613,1163,0,0,0,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pedomicrobium",0,0,0,814,214,744,0,0,307,0,0,0,1210,0,0,0,0,1337,0,0,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakamurella",0,0,0,1018,0,0,0,0,491,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacterium",0,0,0,900,1188,1029,0,0,1087,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidibacter",633,612,927,925,122,529,0,0,558,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingobium",0,1161,0,0,1759,0,0,630,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavisolibacter",0,0,0,0,0,1046,0,0,920,676,0,0,1140,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kapabacteriales_genus",318,0,0,0,735,0,0,0,1822,309,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OM190_genus",413,1638,0,604,0,198,0,0,607,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subgroup_22_genus",0,0,0,0,1043,903,0,0,596,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKYH767_genus",0,0,0,75,0,0,0,0,0,2102,0,70,0,0,342,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croceibacterium",0,0,0,0,0,541,0,0,0,393,0,137,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fimbriimonadaceae_genus",0,0,0,890,0,0,0,0,615,846,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mucilaginibacter",362,0,0,0,279,0,0,0,0,819,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Planifilum",0,288,0,0,0,0,0,0,0,109,0,126,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Alysiosphaera",261,0,0,318,0,0,0,0,77,0,0,177,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0
"Thermodesulfobacteriota_genus",0,0,0,0,680,98,0,0,280,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitochondria_genus",0,0,0,348,0,106,0,358,0,309,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Longimicrobiaceae_genus",0,403,0,0,368,0,0,0,735,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SZB85",0,0,0,679,0,0,0,0,0,0,272,314,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fimbriimonadales_genus",0,336,0,0,268,0,0,0,0,676,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NS9_marine_group_genus",0,0,0,151,0,344,0,0,363,400,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sericytochromatia_genus",0,0,0,0,613,106,0,0,561,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frankiales_genus",0,0,0,0,0,365,0,0,192,0,0,0,0,0,0,290,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anoxybacillus",41,0,0,181,0,0,0,0,0,361,169,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tautonia",0,0,0,53,0,97,0,0,0,212,0,99,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Articulospora",0,84,0,0,0,0,0,0,384,85,0,2827,0,133,0,0,0,84,0,0,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysurus",0,168,260,64,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrenochaeta",0,0,0,0,67,58,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0
