,(5'->5')-dinucleotides,5'-deoxyribonucleosides,Anthracenes,Azetidines,Azoles,Azolidines,Azolines,Benzene and substituted derivatives,Benzimidazoles,Benzophenanthridine alkaloids,Benzopyrans,Benzothiazoles,Benzoxepines,Biotin and derivatives,Carboximidic acids and derivatives,Carboxylic acids and derivatives,Cinchona alkaloids,Cinnamaldehydes,Cinnamic acids and derivatives,Coumarins and derivatives,Diarylheptanoids,Diazanaphthalenes,Diazines,Dihydrofurans,Dithiolanes,Endocannabinoids,Fatty Acyls,Flavin nucleotides,Flavonoids,Fluorenes,Furans,Glycerolipids,Glycerophospholipids,Hydroxy acids and derivatives,Imidazopyrimidines,Indanes,Indoles and derivatives,Isobenzofurans,Isocoumarans,Isoflavonoids,Isoquinolines and derivatives,Keto acids and derivatives,Lactams,Lactones,"Linear 1,3-diarylpropanoids",Macrolactams,Macrolides and analogues,Morphinans,Naphthalenes,Naphthofurans,Nucleoside and nucleotide analogues,Organic carbonic acids and derivatives,Organic oxoanionic compounds,Organic phosphonic acids and derivatives,Organic phosphoric acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfuric acids and derivatives,Organonitrogen compounds,Organooxygen compounds,Oxazinanes,Oxepanes,Peptidomimetics,Phenanthrenes and derivatives,Phenol esters,Phenol ethers,Phenols,Phenylpropanoic acids,Plumeran-type alkaloids,Prenol lipids,Pteridines and derivatives,Purine nucleosides,Purine nucleotides,Pyrans,Pyridines and derivatives,Pyrimidine nucleosides,Pyrimidine nucleotides,Pyrrolidines,Quinolines and derivatives,Sphingolipids,Steroids and steroid derivatives,Stilbenes,Sulfamic acid derivatives,Tetracyclines,Tetrahydroisoquinolines,Tetrapyrroles and derivatives,Thienopyridines,Triazines,Tropane alkaloids,Yohimbine alkaloids
MS01_1,0.213046216,0.003908305,-0.014918846,0.068978897,-1.775446108,-0.013391873,-0.852716448,-1.596681127,0.046839843,0.170538086,-0.057121332,0.78040465,-0.026348337,-0.029234766,-2.404107724,8.602578234,0.095397638,0.029032072,2.458879674,2.122896293,-0.211167878,0.396662298,-1.752467311,-0.137798625,-0.208312951,-0.195647719,-9.042549911,0.084244603,0.062063783,-0.053610434,0.16549896,-0.784172779,2.704765771,-0.988639359,6.563423503,-0.077339696,-1.637065035,-0.075146673,-0.119445869,0.457769797,-0.510189295,-0.600056285,-0.232343808,-0.249573604,-0.283206388,-0.070232226,-0.03173291,-0.30161018,0.114339559,-0.028460741,0.428863481,0.382676429,-0.052175018,0.044707432,-0.005270832,3.597334067,-0.048619703,0.758727242,-4.24205684,0.044241166,0.308741616,1.432978952,0.05949979,-0.043600914,-0.054437329,-0.750741158,-0.44689148,0.023895365,-0.438516938,0.118262919,3.204829556,0.908907017,0.05807443,3.64043949,1.550000432,1.544432104,-0.022114082,-1.026072787,-0.527887609,1.352674804,-0.022304886,-0.020230014,-0.11944801,-0.063786496,-0.107616276,-0.018286491,2.379052744,0.102834355,-0.014990844
MS01_2,0.106126519,0.092627074,-0.029908858,0.110081523,-1.786892975,-0.002672882,-0.857993467,-0.921473469,-0.009888205,0.21039845,-0.05941316,0.359753343,-0.025512779,-0.038666258,-2.363900445,8.727617897,0.010925954,-0.000635807,3.095745697,2.002496365,-0.21146633,-0.090706442,-0.874253836,-0.140761403,-0.238068266,-0.215327691,-8.238155518,0.073990682,0.644581058,-0.054442975,-0.054392143,-0.929310454,0.03537065,-1.155569984,2.97072742,-0.035707418,-0.358522605,-0.0884305,-0.207386495,0.566210108,-0.534795627,-0.698585046,-0.239190198,0.600133187,-0.317790247,1.304183348,-0.031934268,-0.317929094,0.143400191,0.045573527,0.250884716,0.40713925,-0.047643097,0.008006568,-0.009913476,1.79725827,1.569508942,0.594646949,-4.512397505,-0.003670168,0.210331932,0.311593762,-0.004133436,-0.044460432,-0.082181483,-0.615180574,-0.58316177,0.008005028,0.620741222,0.150602296,0.64340076,0.308358668,0.020420338,2.059668736,0.978027271,0.931452353,0.009847296,-1.06176473,-0.530761542,3.324879063,-0.020629049,-0.018133387,-0.124712937,-0.062362065,-0.132820481,-0.0341416,1.362932103,-0.026992205,-0.016815289
MS01_3,0.210183349,0.004481152,0.310075219,0.343737397,-1.854676727,-0.029772341,-0.851723289,-1.515230816,0.045461887,0.226693465,-0.059180366,0.347490805,-0.027162239,-0.045020535,-3.139133703,8.012301635,0.020225212,0.018741348,2.479003404,3.153694895,-0.21142642,0.424876159,-1.283960873,1.138641461,-0.19557706,-0.208487558,-11.13825751,0.131739851,2.279682413,-0.065762168,0.188449439,-1.180670422,0.95170395,-0.974654365,10.46124202,-0.043969981,-1.905962013,-0.108011854,-0.183660051,-0.546226939,-0.479696535,-0.611022739,-0.233128027,0.425589489,-0.264485748,0.550260804,-0.030896009,-0.317020985,0.036537863,0.003302207,0.231591448,0.367470908,-0.054397704,0.024947342,0.016952359,4.810395675,0.271667286,0.046761536,-3.681796492,-0.027408887,0.379681332,1.704317409,-0.054673025,-0.044613918,-0.122294224,-0.985460696,-0.549344379,-0.028172033,-0.864423471,0.295703085,2.88080128,0.205639246,0.068589597,6.067659873,0.723936597,0.358470648,-0.024125442,-1.091442056,-0.532938965,-2.056275834,-0.140688869,-0.022759442,-0.120211757,-0.071820466,-0.166061339,-0.032993678,2.447076588,0.021093773,-0.014687779
MS01_4,0.307502216,0.005517486,-0.051548471,0.440127608,-1.825878236,-0.013145253,-0.848031443,-1.771472671,0.041443671,0.171879875,-0.057691349,-0.108384358,-0.025290871,-0.070336403,-1.88302955,4.154167194,0.02942948,0.022725883,2.357553569,2.152906125,-0.211386531,1.319598335,-0.947410543,-0.236714207,-0.280423699,-0.2170978,-8.594164993,0.098096307,0.282333227,-0.066480721,-0.006570986,-1.011810727,0.068674481,-1.068994902,8.783378588,-0.053267428,-1.510678464,-0.113827141,-0.178535344,0.167957532,-0.558921666,-0.630835356,-0.234131994,0.145954557,-0.251328916,1.774818225,-0.032105279,-0.314978024,0.059449872,-0.005680389,0.305670127,0.740683249,-0.04247083,0.035510704,0.000158005,4.491205132,-0.028239899,0.398496981,-2.878623935,-0.061907451,0.419629676,2.112874789,-0.043161444,-0.044030855,-0.157011993,-1.102306807,-0.577203456,-0.029697811,-0.735615864,0.124540642,4.741150374,1.116211921,0.069113492,5.919485563,0.362123176,1.456342644,-0.023549737,-1.096331961,-0.526797533,3.444440685,-0.113261221,-0.024753913,-0.121156888,-0.070716536,-0.12837053,-0.03311089,2.955472776,0.029480765,-0.015081831
MS01_5,0.56635721,-0.025911905,-0.084044229,0.009054276,-1.834568258,-0.029478288,-0.858886836,-2.779932105,0.025614679,0.198401185,-0.059017796,-0.244442475,-0.027917485,-0.067410788,-0.933233939,4.604846955,-0.00434457,0.032746863,1.537487448,2.380381596,-0.21283368,0.863405947,-2.179256159,-0.263605697,-0.247507871,-0.222061241,-6.835068102,0.116122091,0.347040047,-0.045950699,0.083139918,-1.038269281,0.102131169,-0.916693417,11.44323158,-0.070236264,-2.531378971,-0.119669389,-0.160091796,-0.454573472,-0.562134316,-0.555257454,-0.235366611,0.136571278,-0.31532371,-0.099712426,-0.032667844,-0.324983938,-0.012125028,-0.104150673,0.16177102,0.554867661,-0.050810637,0.044327023,0.010842394,5.563597673,0.04475939,0.526116756,-3.458679267,-0.058976467,0.80113149,2.335537276,-0.107984727,-0.044618825,-0.145538095,-0.922908507,-0.592656873,-0.030072123,-0.683016389,0.058888295,3.363793394,0.036343593,-0.016566509,6.065944821,0.546429546,0.356485113,-0.023097808,-1.100175327,-0.532690763,-3.477563734,-0.138784873,-0.029534208,-0.118014039,-0.067642952,-0.142129357,-0.034014961,3.979795793,-0.189394287,-0.015294615
MS01_6,0.664080825,0.041573785,-0.045997521,0.161165119,-1.747753387,-0.01055271,-0.85508356,0.712611309,0.111842573,0.114329431,-0.061469595,0.829039143,-0.022270015,-0.061419277,-1.874294608,12.81477381,0.081974208,-0.021811611,4.398472422,2.460740377,-0.210077387,-0.178410017,-0.416813884,-0.166982085,-0.291495036,-0.199983602,-15.00343847,0.036495842,0.402359881,-0.05623934,-0.049589152,-1.061989348,-0.049258686,-1.156900434,6.011298943,-0.058874246,0.844829907,-0.11197451,-0.193896107,0.187578315,-0.489735657,-0.719371863,-0.236571656,0.175991851,-0.260722192,2.74478181,-0.029455725,-0.290636674,0.19432295,-0.139120206,0.216334335,0.471270832,-0.067549946,0.006117512,-0.011431469,1.309923969,0.282516961,1.208312449,-4.219391755,-0.02898554,0.457314449,1.165982632,0.22388565,-0.044824858,0.099639199,0.006134162,-0.599868946,0.030662941,-0.778541843,0.192521275,2.336627843,0.539454758,-0.006451061,2.392317999,1.417390433,0.216483754,-0.022622162,-1.066158277,-0.533808372,7.556254332,0.000254347,-0.011604628,-0.123173174,-0.069893774,-0.11825618,-0.025593342,1.54434081,-0.075064604,-0.015393046
MS03_1,-0.004656197,0.066547712,0.212081471,0.393125333,-1.436299934,0.443614722,-0.819579193,-1.505864349,0.009941116,0.070951641,-0.061729591,0.258053564,-0.016778315,-0.045895276,-3.852757215,17.82093564,0.016818805,-0.014279353,2.479717796,1.261247179,-0.207757172,-0.062493744,4.087020508,-0.183264012,-0.283712645,-0.208187273,-19.12806423,0.035179914,0.169136563,-0.046025694,-0.096399988,-1.396702045,-0.092311786,-0.744826632,0.387911537,0.237655279,3.38183218,-0.013349852,-0.139050288,6.742722268,-0.431332165,-0.653771829,-0.239836999,1.826325264,-0.238554412,-0.232791854,-0.018705339,-0.30096202,0.636890763,-0.170659471,0.638257905,1.530099849,-0.084598739,0.012257674,-0.014719263,-0.127092106,-0.174889449,2.449722881,-4.730199478,0.087862741,-0.133970054,0.100169363,0.727768038,-0.044350138,0.158709907,2.105205723,-0.417500101,0.28208656,1.705749877,0.157018007,0.174299612,0.477698594,-0.010758137,2.049717805,2.677489833,0.166806661,0.070099362,-0.803385312,-0.528865627,9.128245962,0.414675665,-0.009186941,-0.123721114,-0.067772932,0.275648753,-0.025446833,0.280733544,-0.070253281,0.201785066
MS03_2,0.158405494,0.172679332,-0.066168456,0.451960843,-1.578422474,-0.024215719,-0.779033264,-1.370119548,0.043887675,0.243263862,-0.059517062,0.326280948,-0.02639649,-0.028480624,-2.298099609,8.344016142,0.035734328,0.043839536,2.572463852,1.689718056,-0.210455003,0.179157569,0.457208862,-0.198116479,-0.222716592,-0.168834663,-8.609769902,0.119797105,0.234081328,-0.065207214,-0.069219166,-0.930001899,0.54822204,-0.615473921,4.954205239,0.020134506,0.828986113,-0.067408427,-0.00810166,0.18042695,-0.513628422,-0.638043782,-0.236978422,0.396110654,-0.130241275,0.368648538,-0.03094223,-0.286756977,0.119025744,-0.172155701,0.163641551,0.353050547,-0.055010526,0.020905156,-0.010525266,2.84991935,0.117408174,1.272339979,-4.151335879,0.048497697,0.355188303,0.509475941,0.095159892,-0.044353523,-0.152849387,-0.001554058,-0.507870048,0.01606486,-0.687809989,0.163399929,1.37573969,0.3917293,0.105989909,1.974407771,0.666809602,0.187102529,-0.023118816,-0.95736128,-0.518692902,1.286569325,-0.121176696,-0.018711146,-0.123607234,-0.063122183,-0.174447658,-0.006838747,1.354182439,-0.1018685,-0.016431092
MS03_3,0.060044534,0.073495348,-0.052748001,0.306054646,-1.487318478,0.05948681,-0.828781538,-1.208028966,-0.000198283,0.111395117,-0.061338737,0.401407169,-0.023982455,-0.050699232,-2.094594883,12.28131739,0.092064561,0.07503451,2.640176057,1.304321414,-0.19802201,-0.01001159,-0.240230222,-0.205219376,-0.250479977,-0.17372127,-11.37436779,0.063702481,0.068306522,-0.051401334,-0.115860156,-1.009988229,1.759357797,-0.810960626,0.574694496,-0.048363102,2.054758534,-0.093667908,0.019819825,0.867866141,-0.430107334,-0.683654976,-0.242060967,1.280473155,-0.223025823,1.118223013,-0.01087053,-0.25325448,0.187361622,-0.050134577,0.353887873,0.704826432,-0.055189382,0.016913382,-0.020014961,0.839362341,-0.212159487,1.429916383,-4.347901375,-0.016527412,0.394897837,0.242139516,0.55210803,-0.043652725,0.147846506,1.223958722,-0.512304058,0.326077413,-0.728057575,0.109408261,0.451146167,0.55620511,-0.02116162,0.987757247,1.162462546,0.94391463,-0.002670706,-0.990260307,-0.522875265,3.239147876,0.420660513,-0.013080933,-0.124581091,-0.069876331,-0.051628422,0.007647155,0.54532493,-0.113572719,0.106149621
MS03_4,0.002437054,0.015081011,1.455182972,0.282164166,-1.484158594,0.02110972,-0.854063599,-0.056306456,-0.008188912,0.349828685,-0.059371729,0.228009175,-0.022608492,-0.045435394,-3.048273288,8.452473238,0.023482547,-0.00307746,3.815467886,1.721486985,-0.210234572,-0.050010453,0.445617529,-0.132760174,-0.246494431,-0.139479353,-9.169519681,0.079881892,0.154454387,-0.066588737,-0.112467911,-0.765036987,0.725735193,-0.711488462,2.657409964,0.189057941,2.326381349,-0.03596698,-0.014014544,0.335672245,-0.488864385,-0.686373554,-0.23997155,1.07842924,-0.251129028,-0.267087945,-0.015751841,-0.304871246,0.197927423,-0.173405896,-0.138695103,0.595403248,-0.054592823,0.01517914,-0.017323236,-0.489890348,0.084236855,1.458735857,-4.697484583,0.074517142,-0.002482733,0.501722187,0.046932793,-0.04463402,-0.062602381,0.37296094,-0.503591301,-0.001740429,2.875743848,0.087696937,0.294226362,0.144542037,0.011065266,0.713512109,1.361794232,0.029729332,-0.02322064,-0.974633207,-0.535142238,3.576138442,0.044173384,-0.015430176,-0.127402017,-0.070907479,-0.127748816,-0.013013908,-0.912831156,-0.127017007,-0.01620475
