"","Kingdom","Genera"
"Tissierella","Bacteria","Tissierella"
"Romboutsia","Bacteria","Romboutsia"
"Morganella","Bacteria","Morganella"
"Proteus","Bacteria","Proteus"
"Clostridium","Bacteria","Clostridium"
"Pseudomonas","Bacteria","Pseudomonas"
"Sporosarcina","Bacteria","Sporosarcina"
"Paeniclostridium","Bacteria","Paeniclostridium"
"Stenotrophomonas","Bacteria","Stenotrophomonas"
"Mammaliicoccus","Bacteria","Mammaliicoccus"
"Achromobacter","Bacteria","Achromobacter"
"Vagococcus","Bacteria","Vagococcus"
"Jeotgalicoccus","Bacteria","Jeotgalicoccus"
"Enterococcus","Bacteria","Enterococcus"
"Lysinibacillus","Bacteria","Lysinibacillus"
"Escherichia-Shigella","Bacteria","Escherichia-Shigella"
"Corynebacterium","Bacteria","Corynebacterium"
"Psychrobacter","Bacteria","Psychrobacter"
"Psychrobacillus","Bacteria","Psychrobacillus"
"Paenalcaligenes","Bacteria","Paenalcaligenes"
"Flavobacterium","Bacteria","Flavobacterium"
"Glutamicibacter","Bacteria","Glutamicibacter"
"Bacteroides","Bacteria","Bacteroides"
"Sphingobacterium","Bacteria","Sphingobacterium"
"Muribaculaceae_genus","Bacteria","Muribaculaceae_genus"
"Lachnospiraceae_genus","Bacteria","Lachnospiraceae_genus"
"Microbacterium","Bacteria","Microbacterium"
"Lactobacillus","Bacteria","Lactobacillus"
"Paenarthrobacter","Bacteria","Paenarthrobacter"
"Rhodococcus","Bacteria","Rhodococcus"
"Ruminococcus","Bacteria","Ruminococcus"
"Verticiella","Bacteria","Verticiella"
"Pseudochrobactrum","Bacteria","Pseudochrobactrum"
"Advenella","Bacteria","Advenella"
"Staphylococcus","Bacteria","Staphylococcus"
"Brucella","Bacteria","Brucella"
"Paenibacillus","Bacteria","Paenibacillus"
"Litchfieldia","Bacteria","Litchfieldia"
"Ensifer","Bacteria","Ensifer"
"Pseudaminobacter","Bacteria","Pseudaminobacter"
"Prevotellaceae_NK3B31_group","Bacteria","Prevotellaceae_NK3B31_group"
"Solibacillus","Bacteria","Solibacillus"
"Oscillospiraceae_genus","Bacteria","Oscillospiraceae_genus"
"Acinetobacter","Bacteria","Acinetobacter"
"Vicinamibacteraceae_genus","Bacteria","Vicinamibacteraceae_genus"
"[Eubacterium]_siraeum_group","Bacteria","[Eubacterium]_siraeum_group"
