Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Sporosarcina,17581,91221,27788,14516,19605,12978,11028,45079,10533,8968,47231,14142,545490,177283,62569,46127,54010,30930,296895,23145971,43068000,6898677,3190910,15612566,291658235,136599261,790920025,123637475,1212976060,153259016,64557593,1129308690,148280905,816606438,50620014,98380444,172434376,17641750,61802049,42190356,42480895,4432101
Psychrobacter,0,489434,0,5234,0,3871,15225,79923,0,151278,273303,33542,3533721,36241,213075,6438503,716233,116739,83768,350793,9260521,456211,125506014,195287006,15540988,18844,79121882,27139405,175968576,46388520,2915048426,41224700,64111035,135363,385771,3951613,1581393,136392384,3576449,3671087,4436361,988531
Paenalcaligenes,0,212543,11062,10027,0,0,0,0,0,1013,0,0,11380,0,0,28862,250505,0,39366,0,1161253,0,2749578,3184872,0,0,8568952,560339,77549409,9909624,2060869531,519881846,357203417,0,832295,330836022,103327,204194494,2624246,6898794,17161734,16214113
Pseudomonas,140900,145402,70430,108558,515152,109329,498421,125055,179691,127569,731050,179041,14581617,16381430,3804194,4661337,10352461,1188257,131593147,552555777,150134717,19369140,298066013,355631325,73792503,77066,386422504,176841546,2612158,17386545,4988081,28824780,129689,1368073,18107612,3879962,1321320,299307,3746579,1703832,1150084,21236
Achromobacter,15808,236324,0,0,9855,8037,6414,0,0,6461,15945,22591,571895,3380,67905,115566,240979,0,0,217805581,104161203,88031,9898211,4459255,39444531,2608494,65043537,10467015,129233363,59317902,8697656,25553999,135610,4382169,35482151,435948008,4608006,31708117,7441934,1414553,20650983,764730
Proteus,11379,369527,22127,40199,24113,32062,12517,17740,18558,9855,11833,14640,24611,31077,13658,19586,44813,15931,27255,471829,155149,95946,705682,5693448,176726497,33765,5987070,36157914,39347330,21686502,116560945,443825114,24234426,113786581,62914178,57560204,16039502,23399785,2921000,4834826,5330643,7886255
Glutamicibacter,0,37339,0,0,17082,32990,0,0,0,0,0,0,392429,0,148398,267353,0,0,0,0,1750721,126033,0,318876,1825214,150119,19836929,0,0,11029972,0,966856610,0,18246125,2412637,1331429,929047,0,6653515,2625128,2454832,0
Stenotrophomonas,423196,49396,0,12169,168757,27276,749229,61046,78059,25754,229780,68736,4369656,63081689,872988,1009638,7794507,564790,16413982,137415187,212616315,229787,21887191,127199221,39063345,71434,174536719,72815194,32845278,75107560,7754995,9163186,97720,256580,3671220,6300715,811444,68692,4286759,2131093,7949779,51075
Corynebacterium,34902,19260,6614,6884,51669,3401,18847,1711569,99415,114765,195406,51901,266411,125876,45521,186620,2301464,623936,156645,7873991,7902700,97133,4116625,10091298,14623449,889458,36387649,13465523,49744865,24537217,183575859,141366139,36431522,592002,4626226,76011088,16254012,17247449,1488833,4740626,28900492,601840
Vicinamibacteraceae_genus,19656924,19823995,33669306,28981760,24186932,22144210,22328109,24995612,22318668,20738365,24889288,25638912,18123872,27899340,17152845,17978178,34298287,19609386,14940962,8290721,17753722,19133912,6442369,7921530,1041613,422367,26333031,14784056,0,9546850,3074195,0,282357,1733804,1262994,1028783,479589,1469390,5741327,112517,293920,33708
Pyrinomonadaceae_genus,16787659,12851614,21693451,21998470,22631829,15020162,18689117,23707261,18213287,14994961,18234257,17196169,21141813,27487091,12053744,14252935,33349075,18734972,13141216,17878838,20158584,21141754,11742772,10734102,2820215,611165,24477920,16278048,10143988,8422142,10330854,11422336,654742,1529423,1772995,858813,2218454,1967508,6191913,332610,194887,115862
Jeotgalicoccus,79315,219554,0,41795,371648,9815,60308,1336062,56135,84819,473862,93604,474589,67915,108568,255805,1312211,534457,429642,5698752,4989610,1913862,4042520,19528212,8719969,12184578,20084321,27364774,109099358,32326018,31131090,106085352,7200537,5554720,3009729,49533496,24919623,18092138,5517969,3058952,5813093,1317278
Advenella,13404,457817,0,0,0,13864,0,0,0,0,0,0,875787,0,0,13088,0,9900,72172,7855324,4345707,0,288474,0,302895872,391702,0,12905304,0,141502,877724,63993046,0,295092,1872230,1309280,3958906,536736,50301911,10307046,16159812,1131284
Mammaliicoccus,8684,10827,0,16241,70981,0,76219,417452,82363,158216,165198,60696,521189,1554647,261828,366367,1641813,743327,1501235,14901236,14333807,6266792,4318245,8312933,17154179,12133122,64125095,29891198,48289491,26512627,48657222,71694399,410051,1786108,567340,18545369,3185792,6207243,2685734,950116,1346863,256769
Vicinamibacterales_genus,11475415,13560632,21823210,16338845,12861787,11885546,13608883,18008414,10252361,11945655,13760429,12488657,8622013,14507147,7800196,10045481,16485788,10962310,8000384,5034184,13176166,11069749,1773204,3471332,1855253,345994,20307468,6669783,5040259,5271990,2468868,4795243,383556,590184,651589,1514157,782262,1514287,3612093,226713,513376,127854
WD2101_soil_group_genus,9228407,9025679,15508187,14147818,10937272,12307921,11388647,10834593,18963249,9231731,9680030,14081841,5941417,11744299,11363686,9573741,10379909,15732111,10267598,4876738,10004827,8572215,7698062,6674217,2323960,538084,23906810,12004504,3110126,7409379,6203616,10059277,341407,922996,1817852,1524710,792668,1071432,4177879,196484,159468,22292
Rhodococcus,75730,78431,58804,90579,107030,82917,120617,27671,92060,78247,73307,76171,584594,2109659,303174,275340,1129372,331644,275687,11359538,1914970,455262,2216980,5966437,6928113,977346,41739164,6204750,4247443,20779728,13767022,90172153,714358,2370821,9778919,60803371,4070715,12031492,12040658,1886713,6069051,1359808
Morganella,0,123761,11470,20597,10586,13261,5971,0,0,4632,0,0,0,0,0,0,0,11314,0,165585,0,0,2537181,111734,49781,16366,0,62288,147267055,27245275,45925153,49442718,4513562,103330,1616683,13031249,84770,23016794,143935,1515978,1634451,1740797
Pseudaminobacter,0,46683,0,0,0,9123,0,0,0,14474,0,0,0,0,0,9888,0,0,122043,1492142,912019,0,376522,295284,18522265,1219676,141671364,2976801,4161945,28106629,52894672,0,1806388,0,4688331,26419871,2014484,21424500,7976311,62226,2467338,444634
Sphingobacterium,4418,114710,0,1525,107531,19721,216927,18663,0,8940,52739,0,1056020,349191,2042,1758798,2112336,1097060,7236,99557051,5746937,0,342448,383843,1625497,0,5857469,33476,1425332,453562,4612279,96853606,0,180272,817762,102477,674015,250225,2809118,9543001,6939456,5283
Tissierella,6702,26356,14452,16856,18961,11755,14751,13098,9100,6332,7758,11822,15975,227580,19690,0,0,10482,19683,38749086,1458816,106118,302955,1351840,7426760,1516470,14393902,1919598,10122864,5882480,24707061,20153857,15759884,39602756,11630414,27973610,2434092,1484695,151796,369459,4111906,407775
Psychrobacillus,127926,200794,132122,54523,176986,32835,802044,629269,228108,746897,677216,346587,2034329,2636319,836552,329773,1301900,515753,4648346,17586146,17815760,1875140,17589629,20576025,7930618,9730802,68130582,7486438,11167540,6653674,1833362,18259562,0,599394,548687,962194,143308,149626,956038,25992,51947,0
67_14_genus,3186312,4518661,6749742,5835757,3915201,7441834,3096498,3657610,7311547,3208720,4300942,5100995,3071601,6780074,3796808,3496707,3777008,4554039,5251030,1867811,4220417,5561180,1663649,1771876,504580,1204613,25415346,5109590,7407043,4802579,3679522,15408034,379342,851996,1075554,5325051,1350634,1545920,1211416,545791,983388,51094
Gaiella,3797318,4198146,5627816,4867972,3291004,5186257,3277198,3634378,3810914,2932122,2946845,3379354,2695201,5224474,2634540,3047661,3544608,3743400,3118686,0,3187934,2868474,1955599,337960,2096378,1685994,28060328,6524447,10579053,4909339,4868557,9206414,269754,1051682,668964,5043673,934373,1261227,2099299,384572,1047036,10408
Solirubrobacter,2558659,2376228,4417037,4251825,2534292,4654610,3021510,2207816,5125243,2209730,2600708,3659583,2296042,4338097,2563855,2279453,2942580,3872682,5135117,1689489,2970998,3431646,2787423,2790585,2107529,2715875,17080199,5591131,6162115,8227424,7588203,13504623,349837,1433305,952188,4545988,637676,1046940,650029,409763,1204406,80425
Gaiellales_genus,3623536,4335874,5078776,3623610,2967569,4061485,3118623,3982846,3527204,3253298,3199893,2715570,2704830,3946875,2476442,2731520,3989989,4482991,2280729,2020986,4539443,3376645,831825,1289076,1644765,924579,28151006,5547355,12511820,3480766,1422518,8093736,383556,266249,524477,4398266,332123,1223471,2511177,189766,771463,27440
Microbacterium,593896,778371,1019988,661534,476548,826393,674498,253220,995305,401069,637143,798573,1183762,5185766,1015021,677587,1799982,882287,1866330,5009465,8068356,677147,1504837,2490299,920098,1328047,26389365,1964271,2600781,4233060,15735807,20482435,242412,102403,1930232,27436030,442831,579995,574861,498587,1731597,44368
Gemmatimonadaceae_genus,4864339,4933732,6633008,6147029,5266061,5106818,4533526,6575103,3935984,4910449,5508774,3859335,4689025,7176168,3636974,4282416,6808682,4625879,2283783,4261472,6406135,5009565,1515196,1412264,468739,277454,11489254,2185341,3461823,2533441,1351499,3907762,66981,940639,409747,1456020,317887,357237,1660804,24538,218652,29077
Subgroup_7_genus,5382891,2205493,7551969,6687959,5395784,3841360,11168330,6722906,14647466,5730823,6284051,9798770,3298281,7820522,3048976,4780955,5434419,5624565,2847368,1274048,1910211,4263872,1615192,1141377,219229,0,3665486,3933933,391851,5681121,0,1716366,0,0,97844,0,68789,0,707117,68478,0,0
Agromyces,1155465,1171464,1450133,1312595,1013818,1004622,1071503,682235,1195207,1065097,766968,750190,1282387,1556864,999756,771480,2008901,1222468,1129049,1656530,3139986,1264946,1384444,672902,1784151,3328789,43856286,5071505,5729611,7406939,18779541,5175078,170353,519555,2334133,6429160,512946,2566330,2430222,184030,1063997,124286
