"","X1","X2"
"1","Sporosarcina",23.6057258143454
"2","Tissierella",15.6523345467364
"3","Pseudaminobacter",11.6208320833657
"4","Proteus",10.9755391441491
"5","Massilia",9.45865390012765
"6","UTCFX1",8.72504171531247
"7","Subgroup_7_genus",8.60576765889049
"8","TK10_genus",8.25938765051307
"9","Siminovitchia",6.83180200461884
"10","Microlunatus",5.60616949669775
"11","WD2101_soil_group_genus",4.68399877388969
"12","Pyrinomonadaceae_genus",4.53386663073963
"13","Psychrobacillus",3.96622327413482
"14","Peribacillus",3.88851897750398
"15","Acidiferrimicrobium",3.38130447285354
"16","Roseiflexaceae_genus",3.24337673699911
"17","Pirellula",2.90010522727273
"18","Solibacillus",2.56775185713592
"19","Bacillaceae_genus",2.35177305361305
"20","AKAU4049_genus",2.02733349553225
"21","Lysinibacillus",1.93090906080031
"22","Gemmatimonadaceae_genus",1.74949730963481
"23","Rokubacteriales_genus",1.37977341297591
"24","Pseudomonas",1.3684181801131
"25","Mammaliicoccus",1.34704345668221
"26","Achromobacter",1.34260001569264
"27","Stenotrophomonas",1.32988190712066
"28","SC.I.84_genus",1.28829476430976
"29","Ohtaekwangia",1.26593611111111
"30","X0319.7L14_genus",1.23298753607504
"31","Vicinamibacteraceae_genus",1.13453739205239
"32","Pirellulaceae_genus",1.09708073304473
"33","X11_24_genus",1.00168586771562
"34","MB.A2.108_genus",0.993528648989899
"35","Vicinamibacterales_genus",0.815030460858586
"36","Arenimicrobium",0.804010848534182
"37","Skermanella",0.790578877665544
"38","Subgroup_5_genus",0.790480748556998
"39","Entotheonellaceae_genus",0.736587369408369
"40","Subgroup_25_genus",0.726820707070707
"41","Sphingomonas",0.723985049873737
"42","Lysobacter",0.691497935225269
"43","Ellin6067",0.604671118881119
"44","Microvirga",0.595326011655012
"45","Ardenticatenales_genus",0.58097095959596
"46","Nocardioides",0.545201834054834
"47","Lineage_IIb_genus",0.507503275058275
"48","Saprospiraceae_genus",0.507289232323232
"49","S0134_terrestrial_group_genus",0.499264757575758
"50","Chryseolinea",0.460539791666667
"51","Corynebacterium",0.459089936341436
"52","Planctomycetales_genus",0.455433522727273
"53","Ensifer",0.426527298195632
"54","Variovorax",0.401512048368298
"55","Gaiella",0.390242446442446
"56","Blastocatellaceae_genus",0.381914747474748
"57","AKYH767_genus",0.379292895299145
"58","X67_14_genus",0.378650459034792
"59","YC.ZSS.LKJ147",0.377032727272727
"60","Dongia",0.349658878787879
"61","Bryobacter",0.329717948717949
"62","bacteriap25_genus",0.327163914785831
"63","KD4.96_genus",0.325399562289562
"64","Escherichia.Shigella",0.311993164659415
"65","Chitinophagaceae_genus",0.296236874236874
"66","Xanthobacteraceae_genus",0.280893082519332
