Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Sporosarcina,0,1,0,1,1,1,0,0,0,0,0,0,12,2,3,0,0,1,3,33,82,67,15,35,421,715,406,198,731,334,24,493,396,918,325,138,598,68,425,429,291,228
Pseudomonas,2,1,0,2,4,2,3,0,1,0,5,2,104,77,36,62,51,15,539,489,213,93,475,491,67,1,112,169,1,19,1,3,0,0,81,3,5,3,12,5,7,1
Psychrobacter,0,3,0,0,0,0,0,1,0,2,1,0,31,0,1,87,2,1,0,0,9,2,202,219,17,0,16,26,48,51,688,5,88,0,0,2,3,262,10,15,13,23
Proteus,0,5,0,2,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,2,2,8,168,0,3,54,11,39,48,171,50,115,268,81,45,71,13,35,37,303
Paenalcaligenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,2,0,19,9,296,90,306,0,2,196,0,287,6,23,25,239
Stenotrophomonas,5,0,0,1,2,0,7,0,0,0,0,0,19,222,8,11,25,3,50,82,229,0,23,112,19,0,40,54,6,69,1,2,0,0,7,1,0,1,8,8,18,1
Achromobacter,0,3,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,127,90,0,14,6,31,6,17,9,28,47,2,3,0,4,86,276,1,38,23,6,62,17
Pyrinomonadaceae_genus,39,37,54,50,52,35,51,53,38,46,60,50,41,26,25,31,41,40,14,1,6,23,6,5,0,0,2,1,0,2,0,1,0,1,2,0,0,1,4,2,0,0
Vicinamibacteraceae_genus,49,45,61,53,55,47,42,52,45,45,47,49,36,18,39,43,31,29,8,3,7,22,0,1,0,1,3,3,0,2,0,0,0,0,0,0,1,0,3,0,0,0
Psychrobacillus,3,3,4,1,2,1,20,21,9,26,21,7,31,36,22,10,8,17,43,31,42,19,66,48,26,47,32,16,6,11,0,5,0,2,1,4,0,0,5,0,0,0
