Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Mortierella,627185,590444,724752,523828,664743,844485,674862,794590,1181800,517226,783682,472445,24815716,3435663,33376555,7519476,13693134,22006736,448066325,436282575,314677495,328366679,114740806,43670488,8044012,342522,107418964,240311825,19154283,18255389,860430,545042,581657,747715,390083,4026321,185988,7482663,145911589,1903550,2508830,1056180
Fusarium,606848,761754,365054,391576,557945,816758,669945,208649,675735,428066,454892,722020,1390054,543317,4790438,866374,667558,1475696,57170827,62202465,53838168,23784773,69556979,90036209,16313833,4882675,43526894,93240387,42657291,74811083,3934624,265300033,206530,4492946,996495,1719913,2096802,7019395,49616424,1314094,220318,761147
Linnemannia,220925,87993,59415,49271,54486,36166,171481,26243,36986,46606,223002,73997,6577812,216313,3154076,1467448,922500,4283244,177316827,173887073,20648492,381901554,798227,15460470,4687579,0,25210194,1972567,79584,2464838,0,0,10537,39937,0,8793,77495,0,929246,83968,146529,4317
Cheilymenia,12017,11477,49780,0,33128,6028,6761,6022,12329,0,16926,1751,611432,34644,58063,219992,26109,39600,11990324,99282065,79612529,6206856,446034,2109837,17332748,0,10011536,26926033,142115,21014246,503718,0,27397,88750,0,129257,73067,33163,7838760,224194,167162,9816
Acaulium,25420,24655,23552,8817,13512,8439,18438,9034,9981,13677,25389,10947,14881,16900,4039,9061,13822,32030,0,449235,1292923,88481,0,0,5054165,92573,14642232,5293451,4019017,3388411,16841056,5292276,1270794,8981454,31165024,12831648,12284122,29675040,22165993,5771946,4834410,1563099
Actinomucor,0,425,535,0,0,0,0,0,587,507,0,1751,928746,13942,9088,0,0,0,91855,0,26631670,0,20854,87280627,0,20307737,245239,21888,11369,24572,17439896,16944,6322,0,4302219,113430,64210,17857,23067169,2519,0,84980
Scopulariopsis,0,850,0,0,0,3617,615,430,0,0,0,0,0,0,0,0,3072,0,56862,253766,0,0,9268,182257,0,2893,0,12257,10621689,6031184,2177014,80750979,438350,55469,311892,496805,1386059,10789300,24773497,157020,292009,1032170
Neocosmospora,60084,57812,47104,20227,47513,55455,58390,24091,51076,30902,42315,49916,69590,33799,85327,76015,42490,132777,790607,5381675,1179234,450179,1261639,744719,7188177,326322,7503500,9123017,13759591,31020181,239969,17520427,4215,184155,234572,184654,332123,1622962,16298002,17633,43014,307452
Pseudogymnoascus,104916,54836,51921,105803,98076,110910,109404,115295,49902,122594,88016,112528,606180,71400,1295055,248183,332243,1010974,2291994,4212292,5927494,4960941,2383096,3353048,3129234,1253793,8154724,22301486,3106638,13818003,2875302,2620721,67438,783215,171150,1053404,327695,1131124,16147313,69693,25529,312241
Botryotrichum,17563,23804,2141,4149,16564,19289,16595,8604,5284,12158,22004,6130,302434,28306,473591,62927,199140,208485,3871021,4235155,15517981,3081906,108902,677127,2552173,456503,8474153,2509267,847007,4049316,1091750,62129,90620,224093,397903,622545,655389,1789798,18368493,47861,53856,33767
