"","X1","X2"
"1","Enterocarpus",30.9118299372433
"2","Filobasidium",30.2545686237821
"3","Cladosporium",27.9856646327731
"4","Acaulium",26.9221441481882
"5","Scopulariopsis",15.0358428939695
"6","Malassezia",10.2381983264521
"7","Neocosmospora",6.80103980237047
"8","Cephalotrichum",4.71115111343826
"9","Botryotrichum",4.21210581641815
"10","Phaeosphaeriaceae_gen_Incertae_sedis",3.30163516566767
"11","Fusarium",2.85227472237793
"12","Trichocladium",2.15877340239853
"13","Pleosporales_gen_Incertae_sedis",1.66750131976357
"14","Aureobasidium",1.57270887951632
"15","Chrysosporium",1.20625919437969
