,MS01.1.R2,MS01.2.R2,MS01.3.R2,MS01.4.R2,MS01.5.R2,MS01.6.R2,MS03.1.R2,MS03.2.R2,MS03.3.R2,MS03.4.R2,MS03.5.R2,MS03.6.R2,MS07.1.R2,MS07.2.R2,MS07.3.R2,MS07.4.R2,MS07.5.R2,MS07.6.R2,MS14.1.R2,MS14.2.R2,MS14.3.R2,MS14.4.R2,MS14.5.R2,MS14.6.R2,MS21.1.R2,MS21.2.R2,MS21.3.R2,MS21.4.R2,MS21.5.R2,MS21.6.R2,MS28.1.R2,MS28.2.R2,MS28.3.R2,MS28.4.R2,MS28.5.R2,MS28.6.R2,MS35.1.R2,MS35.2.R2,MS35.3.R2,MS35.4.R2,MS35.5.R2,MS35.6.R2
Com_2146_pos,-0.248958043,-0.243543123,-0.259591592,-0.25440721,-0.269292378,-0.271502861,-0.25732133,-0.24038177,-0.261233703,-0.232517175,-0.149234488,-0.23720907,-0.233820591,-0.217351946,-0.252104161,-0.170015458,-0.254267924,-0.234957643,-0.22126422,-0.218270237,-0.215900062,-0.235151915,-0.097905808,-0.143934895,-0.044624892,-0.259058659,-0.203259536,0.170315886,0.088011723,-0.043719838,0.023188529,0.05848032,0.291675912,-0.039456834,0.037711085,0.402949611,1.723402299,0.898231183,0.806152345,0.235447008,0.087215281,1.187476182
Com_5406_neg,-0.10619276,-0.104239796,-0.101006294,-0.118716977,-0.114020358,-0.120397742,-0.09360486,-0.097473426,-0.118022573,-0.100633582,-0.080521936,-0.093518134,-0.102839091,-0.096544467,-0.101676408,-0.114823002,-0.08811325,-0.092418044,-0.075046431,-0.056446115,-0.061266077,-0.064398046,-0.039916572,-0.001725613,0.088553139,-0.090776751,-0.006925108,0.072393298,0.209087835,0.105615573,0.241744408,0.267728825,0.0553081,0.038806157,0.029518176,0.56279676,0.197178436,0.170513597,0.081905749,0.096978177,0.005860365,0.017274817
Com_4225_pos,-0.232368934,-0.239199011,-0.233157937,-0.234150595,-0.235388362,-0.23659514,-0.239863378,-0.237003437,-0.242081028,-0.239994644,-0.240196213,-0.221136718,-0.233946717,-0.239780899,-0.234664136,-0.240750632,-0.248792123,-0.229741047,-0.212339402,-0.186036199,-0.203458255,-0.124217115,-0.190646932,-0.212070625,0.312703606,-0.097323593,0.228023887,0.205854764,0.058803694,0.10251063,0.091931429,0.247295354,0.07666049,0.411689348,0.187042876,0.182322482,0.425387105,0.943303624,0.458993369,0.357109278,0.816075222,0.379195914
Com_4768_pos,-0.213566513,-0.21408216,-0.214934846,-0.215704596,-0.215881937,-0.212868016,-0.209355091,-0.213532909,-0.211795056,-0.214863734,-0.214264958,-0.21453645,-0.185899431,-0.211834169,-0.209962762,-0.205266102,-0.213561495,-0.212207879,-0.139285827,-0.077662105,-0.107989239,-0.161255255,-0.210659285,0.014953246,0.817944501,-0.028364035,-0.002918445,0.123424286,0.285363974,0.28672398,0.325031195,0.283222962,0.128869024,0.902462985,0.538185254,0.058873636,0.089454096,0.060605954,0.474290468,0.221835947,0.058888994,-0.137878207
Com_12798_pos,-0.109020865,-0.109917038,-0.106969303,-0.107961147,-0.108141957,-0.105873049,-0.098975957,-0.108677994,-0.105838194,-0.109022654,-0.10962659,-0.110662854,-0.090461502,-0.10354577,-0.103583737,-0.094088575,-0.110235376,-0.103636528,-0.09063009,-0.075183156,-0.083158799,-0.045861014,-0.100709986,-0.091239827,0.22779252,0.556846465,-0.022997696,0.07254621,-0.003288578,0.336739949,-0.041498005,0.054768305,0.468790408,-0.047831974,-0.013709413,-0.073573205,0.002887285,0.411521403,0.085507331,0.241391635,0.226528926,-0.099399603
Com_18_neg,-2.120521094,-2.309850018,-2.456320795,-2.379060366,-2.647548509,-3.076658569,-3.474285061,-1.886783512,-2.66676872,-1.34203524,0.026907971,-2.34216872,-2.518354283,-2.144595666,-3.079729649,-2.898335385,-2.775573369,-1.954041399,-1.045295607,-1.902086366,0.555066371,-2.078368424,0.382853094,0.396371467,3.986687739,-2.652837088,-1.417821689,6.068220484,1.05434076,1.174042421,3.713744244,4.353098764,2.078732048,2.48842868,4.073545585,1.707430873,2.101220742,3.82685613,4.46216278,1.45949714,1.840886459,5.418945777
Com_12512_pos,-0.1417091,-0.139827091,-0.111236184,-0.136133959,-0.133169285,-0.139282855,-0.136644638,-0.122074233,-0.132867946,-0.142197568,-0.114379538,-0.112807266,-0.134753258,-0.134469948,-0.137466325,-0.119160287,-0.112916675,-0.126301944,-0.106385424,-0.112143027,-0.107917701,-0.088435353,-0.099409153,-0.031811486,0.385767095,0.233024024,0.013165542,0.17906461,0.034844011,0.055472788,0.14371154,-0.015516422,0.131297911,0.17631668,0.35271326,0.083398272,0.17361028,0.155532334,0.320301377,0.139181196,-0.017730025,0.329345773
Com_299_neg,-0.512832087,-0.513242261,-0.513029833,-0.513015987,-0.51306565,-0.513379767,-0.512305153,-0.513205797,-0.513352168,-0.513169649,-0.512865068,-0.512855726,-0.513241692,-0.511894776,-0.51201181,-0.512069988,-0.513150033,-0.512337527,-0.505836097,-0.512239637,-0.495974016,-0.507274268,-0.478449321,-0.041786929,1.137027193,-0.491763677,-0.456210082,-0.032284269,0.414744085,1.269395225,-0.087716394,0.761193487,0.124964842,0.865590702,-0.194110031,1.297366881,2.483530253,0.199541163,0.811563996,1.371713634,0.663927418,1.634110814
Com_11663_pos,-0.068573991,-0.068885552,-0.067870728,-0.068771401,-0.068126722,-0.068366107,-0.064387249,-0.067748922,-0.068498288,-0.066544181,-0.068706024,-0.066819012,-0.066270306,-0.056699073,-0.063056007,-0.058859399,-0.065500795,-0.064712724,-0.062799665,-0.069694054,-0.059662086,-0.063982456,-0.050737726,-0.055183909,-0.05330027,-0.057878323,-0.060301326,-0.000182213,-0.009972816,-0.023336001,0.025956949,-0.019735752,0.11322025,0.014336595,-0.047984171,0.178233759,0.526672514,0.064915596,0.660347682,0.182730659,-0.021954696,0.078687941
Com_5628_pos,-0.173380733,-0.174578585,-0.17592268,-0.170875528,-0.176086423,-0.177853133,-0.177037478,-0.1701937,-0.175087852,-0.17198735,-0.163692992,-0.17331807,-0.177469492,-0.160372859,-0.177607001,-0.173007817,-0.174959609,-0.17387284,-0.168345867,-0.170543278,-0.15502682,-0.15154858,-0.130585072,-0.109779554,-0.055728215,-0.112621749,-0.093977326,0.487206744,0.348477223,0.189045247,0.069119105,-0.045954149,0.278525839,-0.033014795,-0.029998856,0.483011326,0.809745844,0.33185632,0.571891208,0.589663214,-0.047758054,0.263644387
