ID,Day,Stage
GS01_1,1,Fresh
GS01_2,1,Fresh
GS01_3,1,Fresh
GS01_4,1,Fresh
GS01_5,1,Fresh
GS01_6,1,Fresh
GS03_1,3,Fresh
GS03_2,3,Fresh
GS03_3,3,Fresh
GS03_4,3,Fresh
GS03_5,3,Fresh
GS03_6,3,Fresh
GS07_1,7,Fresh
GS07_2,7,Fresh
GS07_3,7,Fresh
GS07_4,7,Fresh
GS07_5,7,Fresh
GS07_6,7,Fresh
GS14_1,14,Aged
GS14_2,14,Aged
GS14_3,14,Aged
GS14_4,14,Aged
GS14_5,14,Aged
GS14_6,14,Aged
GS21_1,21,Aged
GS21_2,21,Aged
GS21_3,21,Aged
GS21_4,21,Aged
GS21_5,21,Aged
GS21_6,21,Aged
GS28_1,28,Aged
GS28_2,28,Aged
GS28_3,28,Aged
GS28_4,28,Aged
GS28_5,28,Aged
GS28_6,28,Aged
GS35_1,35,Aged
GS35_2,35,Aged
GS35_3,35,Aged
GS35_4,35,Aged
GS35_5,35,Aged
GS35_6,35,Aged
