Genera,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
Fusarium,164,0,5,1,22,14,4,15,65,36,133,31,678,5,151,93,986,226,387,393,437,339,804,896,371,100,616,502,750,360,325,1284,238,161,219,99,13,319,73,293,108,320
Mortierella,102,0,12,233,8,21,8,30,44,356,83,233,212,13,74,18,162,427,647,550,197,421,37,262,74,24,491,135,128,30,65,8,65,28,60,136,26,246,345,13,172,238
Filobasidium,73,414,63,89,66,298,975,834,158,153,81,520,351,306,423,10,102,57,22,5,5,1,1,49,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
Acaulium,0,0,11,0,0,0,22,0,0,0,0,3,2,5,2,11,11,6,0,4,0,1,0,4,373,0,50,89,290,231,257,5,254,354,146,211,16,394,739,75,163,396
Cladosporium,155,376,87,71,43,278,305,94,110,375,218,222,122,497,277,290,67,60,22,4,8,17,2,6,11,0,5,5,3,3,0,1,3,1,1,6,10,0,0,0,1,0
Actinomucor,8,3,0,0,1,0,0,3,8,0,1,0,0,18,0,0,274,1,0,0,944,0,0,14,8,1574,13,7,4,5,19,2,0,45,0,9,0,0,48,0,2,0
Mucor,0,0,0,0,17,3,0,72,0,0,99,1,23,0,465,0,0,433,5,76,10,4,850,11,9,0,9,0,1,1,1,8,2,9,1,0,1,1,18,31,17,0
Alternaria,59,77,76,0,738,26,0,0,25,45,459,78,3,0,0,379,5,0,0,0,3,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0
Linnemannia,111,23,1,0,0,0,4,62,0,45,6,3,150,0,96,21,7,0,218,134,90,583,0,115,1,0,92,42,4,3,12,0,20,5,5,9,0,6,0,6,1,6
Pseudogymnoascus,74,2,0,8,0,8,12,0,2,30,21,2,10,41,5,0,5,61,8,31,7,99,146,57,51,40,180,30,102,75,104,68,64,60,25,72,26,34,17,78,60,20
Scopulariopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,10,0,0,1,24,54,236,203,109,207,14,368,4,37,31,270,90,45
Cheilymenia,0,0,0,5,0,0,1,0,0,1,0,2,0,0,0,32,1,10,35,6,2,6,0,52,113,0,45,619,40,163,7,0,2,46,61,53,0,18,15,62,41,18
