"","x"
"1","Bacillota"
"2","Pseudomonadota"
"3","Pseudomonadota"
"4","Pseudomonadota"
"5","Pseudomonadota"
"6","Pseudomonadota"
"7","Pseudomonadota"
"8","Acidobacteriota"
"9","Acidobacteriota"
"10","Bacillota"
"11","Bacillota"
"12","Actinomycetota"
"13","Acidobacteriota"
"14","Planctomycetota"
"15","Bacillota"
"16","Gemmatimonadota"
"17","Pseudomonadota"
"18","Actinomycetota"
"19","Pseudomonadota"
"20","Pseudomonadota"
"21","Bacteroidota"
"22","Bacteroidota"
"23","Bacillota"
"24","Acidobacteriota"
"25","Bacteroidota"
"26","Myxococcota"
"27","Pseudomonadota"
"28","Chloroflexota"
"29","Actinomycetota"
"30","Bacillota"
"31","Bacillota"
"32","Actinomycetota"
"33","Actinomycetota"
"34","Bacillota"
"35","Pseudomonadota"
"36","Planctomycetota"
"37","Chloroflexota"
"38","Planctomycetota"
"39","Pseudomonadota"
"40","Bacillota"
"41","Pseudomonadota"
"42","Bacteroidota"
"43","Chloroflexota"
"44","Actinomycetota"
"45","Methylomirabilota"
"46","Pseudomonadota"
"47","Acidobacteriota"
"48","Bacteroidota"
"49","Actinomycetota"
"50","Pseudomonadota"
"51","Chloroflexota"
"52","Actinomycetota"
"53","Actinomycetota"
"54","Pseudomonadota"
"55","Pseudomonadota"
"56","Actinomycetota"
"57","Actinomycetota"
"58","Chloroflexota"
"59","Pseudomonadota"
"60","Actinomycetota"
"61","Bacillota"
"62","Pseudomonadota"
"63","Bacteroidota"
"64","Chloroflexota"
"65","Bacillota"
"66","Actinomycetota"
"67","Bacillota"
"68","Pseudomonadota"
"69","Actinomycetota"
"70","Planctomycetota"
"71","Pseudomonadota"
"72","Pseudomonadota"
"73","Actinomycetota"
"74","Nitrospirota"
"75","Pseudomonadota"
"76","Acidobacteriota"
"77","Chloroflexota"
"78","Actinomycetota"
"79","Actinomycetota"
"80","Acidobacteriota"
"81","Planctomycetota"
"82","Bacteroidota"
"83","Gemmatimonadota"
"84","Bacteroidota"
"85","Entotheonellaeota"
"86","Pseudomonadota"
"87","Chloroflexota"
"88","Chloroflexota"
"89","Acidobacteriota"
"90","Pseudomonadota"
"91","Bacillota"
"92","Pseudomonadota"
"93","Pseudomonadota"
"94","Gemmatimonadota"
"95","Chloroflexota"
"96","Myxococcota"
"97","Bacteroidota"
"98","Bacteroidota"
"99","Acidobacteriota"
"100","Bacteroidota"
