"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Proteus",371,0,0,735,245,0,503,516,0,12285,33581,4833,958259,2551,66856,562,63794,4318,7010,208091,7488,19028560,12940704,11510151,3515434,34091028,4007439,22775584,82143850,4466055,4138691,95568263,8191988,30035507,25473071,15363316,33523508,27313394,19479518,14325029,11815871,29538658
"Morganella",946,0,0,0,384,0,0,0,0,918,11132,9457,15345,0,0,0,64240,13084,0,75699,16619,7789,4524453,21111007,37588292,2730,15291,194710,80884223,32237514,4255890,31054151,43985078,87454420,354625,19550122,23231823,32494604,45345049,36886659,31932085,35518565
"Clostridium",71,137,0,233,514,236,0,12157,3087,0,58,216,0,0,50986,1378,289,5129,611,208001,37884745,497,4734,134,0,6168882,16878821,36850,74721,14671025,7081425,121876285,46177,610068,27846,12952,718900,75383513,76496968,4871619,9033346,86039976
"Tissierella",174,0,0,0,134,116,283,0,384,0,214,118,832,733,0,0,2647,1420,3760,156709,137819,734,3518,114254,8226,15665,7739,228242,1419155,1205870,26926477,77661677,63854836,4543940,481475,54854082,42422926,314591842,74096216,85051897,38745713,365953715
"Pseudomonas",2821,2863,0,2215,7877,8470,1598,5341,4286,5340,1677,3290,3335635,14507,365777,11851,29489,27675,8196623,40063764,16515149,363926,653700,349539,7731,1018013,49837,1256298,152768,27751,0,19106,11781,157647,179113,85617,3628,160219,45071,42840,218514,196905
"Romboutsia",0,0,0,407,0,0,0,38607,0,0,285,612,0,0,0,5978,0,0,0,568680163,0,0,16353,0,0,206037,0,5865,0,0,25197,0,6506,0,3155,5643,35619,147295,8330,16519,249027,128477
"Escherichia-Shigella",0,309,29093,2541,1149,3085,1126,10992,21708,443,1669,2285,4618,1257,16896,9711,0,2861,3242,0,15247,865,10833,118295,0,6469344,54489,47827,185039,3944823,6163,98210,1318646,12158,70674,73649,15584,153835,0,0,5136,137260
"Stenotrophomonas",3699,2727,0,5189,44693,13187,0,3721,2143,8408,3030,329,18679,4242,3038,1463,0,3268,1768600,4382556,11112297,53543,207989,166495,30326,646936,74748,716071,0,147227,0,0,40249,632488,209293,0,9854,438895,191565,0,690473,444688
"Serratia",3276,1487,0,3443,29637,8746,0,1154,2579,4481,813,470,0,0,0,0,0,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sporosarcina",0,0,0,608,321,0,670,719,808,0,0,169,0,295,0,0,3676,720,1519,8105899,9537569,4651,24174,340611,117980,3050752,93496,298126,1781274,1260411,63065,392301,258932,1254376,199115,2991414,20793,2248166,657021,222708,588517,2543605
"Psychrobacillus",0,0,0,0,0,0,1126,683,2190,1530,258,1941,7846,2758,5116,1208,545,739,1376924,1848897,739519,11402,122530,50380,4345,1095441,134588,17711,69231,48317,4778,37970,0,34542,21050,0,0,14955,0,12464,6302,24169
"Mammaliicoccus",0,0,0,637,0,1117,4679,2781,9931,1130,1371,3639,12191,0,19999,3474,1456,3001,297277,1182003,1551647,18529,332678,483136,31992,654039,212895,560967,1219718,541034,195248,964031,192162,238767,123675,563383,11047,3799875,402130,213782,177905,4295083
"Paeniclostridium",0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,17582,0,0,0,0,0,0,0,0,0,0,0,27427607,981287,1401978,0,0,3564,0,0,0,0,0,0,0
"Achromobacter",707,781,3350,4057,10583,4381,517,2044,534,3333,1407,0,4561,0,1878,714,0,2519,211796,2014724,3056649,4890,92815,8775,20817,73834,0,6999196,85705,182531,0,0,27181,300825,456711,150635,12782,118237,431152,26560,3841375,115361
"Peribacillus",0,437,0,0,0,0,0,4235,8359,6405,1814,9869,12715,1762,4112,320,0,1171,3295,278252,15088,3330,58216,4296,0,13085,18273,0,0,0,0,19237,0,0,0,0,0,0,0,0,0,0
"Jeotgalicoccus",146,0,0,0,112,971,3775,1145,11405,1836,834,2705,2590,1669,1063,2059,2858,837,48011,890491,796081,4798,451152,756237,20559,496334,49162,573269,833947,417994,45499,448181,109026,804368,115016,223269,69312,2575694,500586,323687,440050,3002748
"Lysinibacillus",0,0,0,0,0,0,0,421,1600,0,0,335,5048,0,7676,0,783,2946,28040,5710383,5822819,3546,125288,673544,6489,15294,4004,194696,257459,120420,0,0,0,23857,19964,15959,0,0,0,0,19111,0
"Enterococcus",0,0,2741,866,385,458,0,983,4895,0,563,1441,1030,0,15716,1546,0,0,0,91970,0,789,9000,14782,395284,2686775,36395,24305,130541,17613,334389,783908,113857,152798,456695,133200,584744,1865720,1059331,763216,1270997,2325578
"Staphylococcus",0,0,0,1371,530,0,3886,1079,2975,3036,0,465,16840,0,60611,2268,0,0,0,379109,0,0,63552,69870,8668,37744,0,0,0,0,0,317544,0,0,5821,173577,0,0,126666,0,0,0
"Corynebacterium",159,1002,0,291,184,106,4546,2152,17417,1548,392,1887,0,0,0,3173,0,1377,3213,286381,203006,1958,218636,95030,27482,52195,16815,201756,166686,558725,7898,1371949,191789,1269002,136565,66699,49608,1767150,744902,419617,726575,1762266
"Herminiimonas",2090,11953,0,4453,5772,9186,2420,7967,2148,6088,999,1767,3177,7060,3355,2620,0,5516,1838,0,0,4278,5702,0,6245,0,0,0,0,0,5310,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus",0,0,0,285,150,260,0,17934,0,126,0,264,0,0,0,2760,0,1060,0,0,0,0,0,0,0,297592,0,8101,0,60262,99873,0,13750,15901,21581,30487,51007,592791,17235,72926,149607,511751
"Vagococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,391,0,0,0,0,0,0,0,1568084,24714,345643,75914,6211840,6263,0,153764,2794822,2591098,21329,0,3229275
"Vicinamibacteraceae_genus",2050,11966,7590,6736,1326,5958,1783,2351,20798,10367,3367,11494,21735,0,3934,924,0,0,8691,158459,15680,0,15907,8336,0,0,0,19737,0,0,0,0,27192,83105,2337,55194,0,52241,0,17792,0,0
"Psychrobacter",0,0,0,175,0,0,0,240,282,1008,196,0,2013,0,0,3250,1481,997,4140,0,391749,2356,91561,619140,0,2156,0,53869,726687,223183,19762,160994,536646,774059,45224,110377,61467,1007497,195721,45372,943466,1128840
"Vicinamibacterales_genus",697,7071,10537,9414,3190,5581,0,6008,6445,5750,1427,8482,12629,6927,1157,1214,0,3008,8691,16157,15680,3423,10675,0,5130,15352,0,0,0,36933,12792,0,11182,39692,17819,0,0,53808,0,0,0,55611
"Turicibacter",0,0,0,0,246,0,0,9077,128,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,1741,32872,1832,7096,0,1200,3962,0,0,0,462,0,19844,26027,7698,1527,11824,16458
"bacteriap25_genus",318,3690,931,3020,490,1699,2093,716,7568,1081,521,3981,4836,1704,4543,141,0,763,1679,44766,5500,1340,0,1903,0,10301,7001,0,0,0,0,26029,7542,0,4668,0,0,0,0,0,9132,0
"Litchfieldia",0,175,0,511,431,327,0,14844,370,0,0,237,0,0,0,928,0,0,0,0,0,0,0,0,0,201768,12954,0,5923,166739,22681,8122,0,3672,3402,0,24508,261004,18550,59182,39564,213197
"Massilia",428,0,417,209,1282,349,0,499,963,1195,350,1029,10278,545,631,84,0,821,13544,49539,130886,267,2604,0,0,0,2408,0,0,0,0,0,0,1511,0,0,0,0,0,0,0,0
"Solibacillus",0,0,0,0,0,0,0,522,1816,1550,0,589,1916,0,714,385,0,0,1783,483136,111154,998,17064,13839,0,37807,0,0,64958,22874,0,0,0,0,1680,31266,0,0,0,0,0,0
"Neobacillus",0,1485,0,0,1010,0,0,1186,1393,0,0,1680,2786,1175,2251,0,0,867,0,0,0,0,2580,0,0,0,0,0,0,0,0,20985,0,0,0,0,0,0,0,0,0,0
"Paenarthrobacter",0,1365,0,0,0,0,1721,0,933,0,0,3024,7769,3240,4456,0,2356,2033,46526,817102,571673,9499,56065,11191,0,32708,22577,16289,0,60800,0,0,36832,102495,6809,0,0,0,88656,0,0,0
"Acinetobacter",0,221,0,125,749,76,0,600,0,111,329,39,0,0,114,4858,467,0,494,535419,4000,482,3426,0,0,0,0,0,0,0,0,0,0,28091,0,0,0,0,5142,0,0,0
"Bacteroides",316,611,0,0,292,0,0,142,0,0,0,214,0,193,0,0,0,303,0,0,0,0,0,0,0,3287145,6825,0,0,0,4686,0,0,1413,1007,2645,1652,12221,22393,0,1815,7583
"Muribaculaceae_genus",0,0,0,0,0,0,0,7731,1018,0,73,841,0,0,0,2437,0,0,0,0,0,0,0,0,0,2412851,4501,0,0,0,5418,0,0,17269,3502,27764,0,10276,0,10503,12410,7055
"Pyrinomonadaceae_genus",1015,10462,0,4941,1043,1129,0,2283,8641,4597,554,10750,11164,5690,0,0,0,0,0,0,47835,0,6124,8093,13758,0,0,0,0,13978,0,52362,36516,21808,13046,49372,38669,65374,0,0,19417,0
"Delftia",139,606,816,0,268,233,0,1933,430,0,514,236,0,0,0,986,465,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligilactobacillus",0,338,0,409,755,700,0,3724,431,1019,287,95,0,0,0,0,0,872,0,0,0,0,0,0,0,71912,13884,7757,0,99427,40080,0,0,0,6746,13760,0,16237,20562,11947,90199,62595
"Microvirga",0,385,0,726,0,863,0,1120,3114,97,0,2020,1729,496,794,1056,0,1910,0,0,17518,1746,3535,3134,0,6087,0,0,0,0,0,0,0,24264,1586,9391,8860,30833,0,0,0,19925
"Gemmataceae_genus",413,2820,0,1921,930,1390,0,826,1557,992,381,1402,3838,994,642,0,0,0,0,21616,3212,387,518,0,0,0,0,0,0,0,0,10786,0,0,924,0,2428,21268,0,0,0,0
"Gaiellales_genus",1225,0,0,3562,1050,2326,1783,1045,614,676,0,3769,3933,7460,0,1233,0,2674,0,0,48722,0,4367,0,0,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastococcus",0,2581,1586,1442,89,1395,424,1306,2864,0,0,471,908,0,0,308,0,0,1560,0,24726,163,5257,951,0,627,0,0,0,6051,0,26966,0,0,0,0,0,0,0,0,0,0
"Streptomyces",0,83,0,82,434,407,0,0,744,0,0,2125,2124,732,689,0,0,314,0,87280,26900,2883,18813,2445,0,40848,20891,0,0,11727,0,115576,0,5305,0,0,7124,0,8347,0,0,0
"Pir4_lineage",0,1517,0,4355,1935,2305,1835,1412,3042,0,0,1910,11448,0,1459,555,2095,1505,4818,73520,29345,0,7213,0,0,19194,0,0,0,0,0,0,0,25503,4211,0,0,72849,0,0,0,0
"Pirellula",314,4968,0,4379,0,2420,918,5263,6037,1940,0,1582,2232,3932,948,0,0,0,0,0,7151,802,13921,0,0,6164,0,0,0,0,0,0,9166,0,4549,0,0,0,0,12440,28134,0
"Gemmatimonadaceae_genus",0,605,3695,1372,965,1533,349,938,5435,2633,0,2263,7791,3829,3741,368,0,0,0,29761,0,0,8886,0,0,3434,2598,0,0,0,0,34617,0,10257,0,0,0,0,0,0,0,0
"KD4-96_genus",795,1635,0,3471,521,678,0,1193,6958,463,1109,3861,4007,5690,0,598,0,0,0,47325,0,0,12014,0,8628,9125,14886,28469,0,0,0,0,16037,0,2534,10761,0,0,0,0,0,0
"WD2101_soil_group_genus",1393,0,0,4071,4832,3256,0,6530,9203,2706,571,3062,7564,2398,1620,0,0,1337,0,130899,36405,978,4367,0,0,0,0,0,23381,0,8688,40449,21855,0,0,8281,0,0,0,0,0,0
"Bryobacter",1691,5230,5610,3706,782,451,0,5578,1192,2626,554,2515,2644,0,0,897,0,2596,0,0,0,475,0,0,0,0,0,0,0,6989,0,0,0,0,0,0,8839,0,0,0,0,0
"Erysipelotrichaceae_genus",129,0,0,0,199,0,0,7207,284,0,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,45083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
