"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Fusarium",435,0,87,0,134,116,0,131,1381,423,4210,1531,294554,67,8099,462,30673,4512,552702,4733455,3733029,121272,8927818,663289,11950,316919,606075,380075,953059,127385,10680,11666425,4257,215847,68940,39844,1138,2031011,105847,299122,73109,2114428
"Mortierella",261,0,173,6553,0,174,64,261,1304,6004,2640,13604,74734,134,3413,77,5295,8607,912701,5920584,1436360,144009,417308,191299,2341,60783,464177,83319,189389,11111,2293,36269,1145,33539,20448,56124,2986,1608366,495565,15692,94865,1647595
"Filobasidium",174,6481,606,2672,402,3256,7704,6530,3760,2368,2426,30153,139485,3530,20594,77,3358,1337,27243,73528,61588,611,12131,39269,0,313,579,0,3777,312,0,674,0,0,2483,155,0,1954,0,0,541,3006
"Acaulium",0,0,87,0,0,0,191,0,0,0,0,177,303,67,58,0,258,251,0,72433,547,1099,0,2303,12130,3133,54967,62171,331296,87793,8749,38831,5083,502615,47614,75194,1636,2602155,991439,80210,105947,2703607
"Cladosporium",348,5472,866,2226,402,2674,2546,915,2608,6596,5709,11779,47201,5995,13074,1464,2002,1170,26741,88453,58440,6846,25960,7349,420,5326,2893,1974,12230,1721,0,16854,64,2923,1022,3566,711,5110,470,502,1757,5862
"Actinomucor",0,84,0,0,0,0,0,65,383,0,0,0,0,133,0,0,8136,0,0,0,6967063,367,970,6691,180,3907363,17213,1692,6655,2660,604,13753,0,72769,0,2170,0,3607,65918,0,1892,3607
"Mucor",0,0,0,0,134,0,0,522,0,0,2854,59,8623,0,23197,0,0,8273,4012,940119,64051,1100,8456287,6033,360,157,9257,141,1079,313,60,86561,128,12923,438,620,71,9469,31784,45690,11622,10521
"Alternaria",174,1094,606,0,5101,174,0,0,614,846,12131,4181,756,0,0,2619,129,0,334,6709,4790,0,0,439,60,0,0,423,719,156,0,944,0,923,0,155,71,0,0,377,405,0
"Linnemannia",174,505,0,0,0,0,64,457,0,592,428,177,52344,0,5091,77,387,0,280613,1779325,723722,189854,0,77441,0,0,114417,29182,3058,1878,423,1618,318,4154,2191,4031,71,38026,783,3891,1351,42685
"Pseudogymnoascus",174,0,0,318,0,58,64,0,153,338,856,59,4085,400,347,0,65,1087,9192,394477,36953,37042,1522927,42121,1801,134883,203520,14803,105396,24726,3680,665528,1461,82462,12122,32093,3770,180511,30532,75941,36351,197194
"Scopulariopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,0,489,1092,1316,480,313,145,705,49821,14710,8929,1868630,2160,268463,5257,150853,213,254009,53549,271130,62703,262576
"Cheilymenia",0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,154,129,84,50306,99407,42701,2322,34937,33236,3303,1097,56557,480310,68166,66354,181,0,127,61385,17819,21395,0,95591,32255,60126,26486,100400
"Neocosmospora",174,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,323,84,41615,135691,65693,5746,17469,3401,2042,260209,142478,76551,327338,25195,483,1221304,826,53846,2775,3411,853,75150,59186,189037,19729,83266
"Aureobasidium",0,1094,87,1081,2819,1744,0,0,460,423,7422,1472,5145,267,3760,0,194,0,1671,8215,0,0,0,329,0,0,289,0,900,626,0,404,0,0,0,0,0,902,0,0,0,1353
"Botryotrichum",0,0,0,0,0,0,0,65,0,338,285,0,1210,0,116,0,323,251,75710,57644,24635,5501,9341,3400,1141,34308,53375,7754,66008,31299,2172,2831,64,33384,24099,72248,1422,882265,313,14435,45811,888577
"Saccharomycopsis",0,0,8046,64,67,0,318,65,153,0,143,0,0,734,868,77,258,167,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,71,0,0,0,0,0
"Malassezia",784,168,87,191,201,233,64,2351,384,169,571,0,303,399,174,154,388,1254,2340,0,684,122,0,0,540,783,145,141,0,0,0,0,1588,308,146,0,0,0,0,126,0,0
"Phaeosphaeriaceae_gen_Incertae_sedis",0,0,866,318,0,116,0,0,537,338,357,118,756,67,58,1618,0,4847,3343,3834,7391,611,8613,219,0,313,723,0,180,156,0,0,127,0,0,155,142,451,0,377,405,1353
"Knufia",174,0,0,127,0,1395,0,0,4681,0,357,295,1664,666,174,0,0,0,501,2191,3695,0,2790,548,0,313,0,141,180,0,0,3101,0,770,1315,310,142,451,626,0,946,601
"Solicoccozyma",0,1094,0,828,0,0,573,327,4910,0,0,648,3026,200,694,0,194,0,2340,8079,2600,489,0,987,120,1567,579,0,1439,469,121,10786,0,2461,3943,465,142,2856,626,126,270,2405
"Naganishia",87,0,0,0,872,116,0,392,153,423,2355,1590,6202,466,174,0,0,0,836,5888,3969,0,0,1097,0,0,0,0,0,626,60,674,0,0,0,310,0,301,0,0,270,451
"Meruliaceae_gen_Incertae_sedis",0,0,3461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0
"Chaetothyriales_gen_Incertae_sedis",87,0,0,64,0,58,0,0,4987,85,1213,59,3480,0,174,154,0,501,0,3012,2737,489,0,0,0,313,289,0,0,0,60,9843,0,154,0,1240,71,752,157,0,0,301
"Trichocladium",0,0,0,0,0,0,0,0,0,169,0,0,1059,0,58,0,65,167,79889,12871,9033,9535,4974,658,240,2037,44407,25094,80396,6260,60,0,0,6923,1753,2171,853,45090,0,43808,8784,49599
"Dothiora",0,84,0,0,0,465,1846,0,0,85,0,1060,0,400,0,0,0,167,0,0,1232,0,0,0,0,0,0,0,180,156,0,0,0,0,0,0,0,0,0,377,0,0
"Vishniacozyma",0,420,0,64,0,58,191,65,0,85,0,2238,24962,467,2603,0,323,0,2340,6024,6159,0,485,2194,0,313,0,0,0,0,0,539,0,154,146,155,142,0,0,0,0,0
