Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Mortierella,93,89,149,101,102,102,59,209,83,96,166,88,773,437,918,564,784,615,991,880,977,609,1055,285,179,18,804,716,351,152,17,1,37,38,10,188,1,136,414,171,174,185
Fusarium,93,111,66,81,86,84,67,65,46,87,93,132,51,49,113,67,38,38,115,149,160,41,621,622,371,292,297,320,824,686,73,991,17,267,22,78,15,129,166,118,13,138
Acaulium,4,7,4,5,2,0,2,3,2,3,4,2,0,1,0,2,0,1,0,0,9,1,0,0,109,7,99,17,65,40,296,12,99,512,667,521,87,607,64,535,260,291
Chaetothyriales_gen_Incertae_sedis,319,68,96,104,45,169,264,341,573,183,250,197,33,47,42,139,8,186,3,0,1,0,1,0,0,0,1,0,0,1,1,5,4,0,1,50,2,0,0,1,0,0
Linnemannia,40,15,13,10,11,5,19,8,3,5,44,15,211,19,79,112,48,123,364,338,73,752,9,92,116,0,182,11,0,15,0,0,1,2,0,0,1,0,6,11,3,0
Actinomucor,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,99,0,0,623,0,1328,0,0,0,0,311,0,3,0,104,5,0,0,58,0,0,20
Knufia,61,39,76,143,91,116,101,57,129,84,84,202,9,39,16,34,12,17,0,0,0,1,1,2,0,0,1,0,0,1,2,3,2,0,0,12,1,0,0,1,0,0
Cladosporium,41,105,27,102,115,78,114,31,19,91,67,63,85,118,50,46,75,22,5,3,3,1,2,6,2,3,1,1,3,0,5,0,8,1,0,5,0,0,1,1,2,0
Cheilymenia,3,2,10,0,4,0,1,1,1,0,2,0,8,4,3,22,0,0,25,201,219,10,2,15,339,0,82,90,3,173,6,0,3,4,0,9,1,2,21,17,7,3
Neocosmospora,11,9,16,5,8,2,6,4,6,5,6,9,2,1,3,3,3,3,1,11,4,1,14,4,153,15,44,56,271,286,2,60,0,13,3,5,1,33,45,0,7,56
Scopulariopsis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,207,55,49,303,31,1,11,27,3,209,81,17,9,179
Pseudogymnoascus,22,4,5,15,14,20,14,20,4,25,17,13,11,4,26,24,22,27,5,9,24,5,20,17,60,63,60,86,53,142,51,14,7,47,6,56,3,19,50,11,1,69
Filobasidium,42,178,11,68,37,37,112,48,9,189,73,33,29,37,16,27,57,9,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Solicoccozyma,68,60,98,53,43,46,85,101,66,85,65,78,16,39,6,30,10,3,0,0,2,0,2,1,2,3,0,0,2,3,3,3,11,3,5,15,0,0,1,1,0,2
Mucor,22,8,2,0,0,4,12,1,1,0,0,1,0,401,23,2,4,261,45,20,15,0,29,0,6,0,31,0,7,3,2,1,4,1,1,2,1,0,0,0,2,2
Trichomeriaceae_gen_Incertae_sedis,44,12,29,55,18,29,37,42,57,31,52,44,11,13,4,26,4,25,1,0,1,1,1,1,0,2,0,1,2,0,0,0,1,0,0,7,0,0,0,2,1,0
Botryotrichum,3,5,0,1,2,2,0,1,2,1,5,1,2,4,10,2,11,9,7,9,46,6,1,5,47,28,74,9,14,37,26,0,6,13,15,31,5,23,51,3,2,10
Aureobasidium,50,188,23,37,40,25,38,7,7,39,14,7,8,4,4,17,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
Alternaria,24,57,12,39,63,33,21,17,4,22,24,26,47,47,21,35,15,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,2,0
Phaeosphaeriaceae_gen_Incertae_sedis,20,26,23,24,70,21,54,8,21,38,13,8,13,66,11,12,21,16,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,2,0,0
Metarhizium,4,3,320,2,1,0,1,0,0,1,2,3,0,1,0,1,102,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bradymyces,29,4,9,29,8,21,37,33,89,19,23,21,5,15,4,40,5,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fungi_gen_Incertae_sedis,58,19,29,32,31,42,6,30,30,48,22,31,6,3,4,6,22,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0
Pseudoarthrographis,26,1,12,48,33,23,19,24,47,32,13,9,1,24,4,5,3,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,5,1,0
Dactylonectria,8,12,8,12,13,9,10,17,4,9,11,14,12,6,12,16,14,10,15,9,4,14,4,6,24,0,16,43,0,21,0,1,0,1,0,0,0,1,4,0,0,0
