Genera,Phylum
Proteus,Pseudomonadota
Morganella,Pseudomonadota
Pseudomonas,Pseudomonadota
Tissierella,Bacillota
Sporosarcina,Bacillota
Clostridium,Bacillota
Paenalcaligenes,Pseudomonadota
Pyrinomonadaceae_genus,Acidobacteriota
Romboutsia,Bacillota
Jeotgalicoccus,Bacillota
Achromobacter,Pseudomonadota
Psychrobacillus,Bacillota
bacteriap25_genus,Myxococcota
Escherichia-Shigella,Pseudomonadota
Psychrobacter,Pseudomonadota
Stenotrophomonas,Pseudomonadota
Corynebacterium,Actinomycetota
Actinomarinales_genus,Actinomycetota
WD2101_soil_group_genus,Planctomycetota
Advenella,Pseudomonadota
UTCFX1,Chloroflexota
Blastococcus,Actinomycetota
Mammaliicoccus,Bacillota
Ardenticatenales_genus,Chloroflexota
Vicinamibacteraceae_genus,Acidobacteriota
Neobacillus,Bacillota
Nitrospira,Nitrospirota
Pseudochrobactrum,Pseudomonadota
AKAU4049_genus,Gemmatimonadota
Chryseolinea,Bacteroidota
P2-11E_genus,Chloroflexota
KD4-96_genus,Chloroflexota
Gemmatimonadaceae_genus,Gemmatimonadota
Siminovitchia,Bacillota
TRA3-20_genus,Pseudomonadota
Paeniclostridium,Bacillota
MND1,Pseudomonadota
Microlunatus,Actinomycetota
Sphingobacterium,Bacteroidota
Lysinibacillus,Bacillota
Rhodococcus,Actinomycetota
Rokubacteriales_genus,Methylomirabilota
Vicinamibacterales_genus,Acidobacteriota
Solibacillus,Bacillota
11_24_genus,Acidobacteriota
Microscillaceae_genus,Bacteroidota
Subgroup_7_genus,Acidobacteriota
Peribacillus,Bacillota
Dongia,Pseudomonadota
Blastocatellaceae_genus,Acidobacteriota
Pir4_lineage,Planctomycetota
Nordella,Pseudomonadota
Bradyrhizobium,Pseudomonadota
Steroidobacter,Pseudomonadota
Acidibacter,Pseudomonadota
MB-A2-108_genus,Actinomycetota
Domibacillus,Bacillota
Glutamicibacter,Actinomycetota
Gaiellales_genus,Actinomycetota
Chryseobacterium,Bacteroidota
