Genera,Phylum
Mortierella,Mortierellomycota
Fusarium,Ascomycota
Chaetothyriales_gen_Incertae_sedis,Ascomycota
Acaulium,Ascomycota
Actinomucor,Mucoromycota
Tuber,Ascomycota
Geopora,Ascomycota
Pseudogymnoascus,Ascomycota
Cladosporium,Ascomycota
Filobasidium,Basidiomycota
Inocybe,Basidiomycota
Linnemannia,Mortierellomycota
Neocosmospora,Ascomycota
Solicoccozyma,Basidiomycota
Mucor,Mucoromycota
Phaeosphaeriaceae_gen_Incertae_sedis,Ascomycota
Dactylonectria,Ascomycota
Scopulariopsis,Ascomycota
Hebeloma,Basidiomycota
Botryotrichum,Ascomycota
Pleosporales_gen_Incertae_sedis,Ascomycota
Knufia,Ascomycota
Alternaria,Ascomycota
Samsoniella,Ascomycota
Cheilymenia,Ascomycota
Aureobasidium,Ascomycota
Tetracladium,Ascomycota
Nectria,Ascomycota
Trichomeriaceae_gen_Incertae_sedis,Ascomycota
Trichocladium,Ascomycota
Pustularia,Ascomycota
Peziza,Ascomycota
Acremonium,Ascomycota
Metarhizium,Ascomycota
Thelephoraceae_gen_Incertae_sedis,Basidiomycota
Paraphoma,Ascomycota
Bradymyces,Ascomycota
Podospora,Ascomycota
Dothiora,Ascomycota
Coniosporium,Ascomycota
Pulvinula,Ascomycota
Fungi_gen_Incertae_sedis,Fungi_phy_Incertae_sedis
Melanophyllum,Basidiomycota
Minimedusa,Basidiomycota
Pseudoarthrographis,Ascomycota
Plectosphaerella,Ascomycota
Trichothecium,Ascomycota
Herpotrichiellaceae_gen_Incertae_sedis,Ascomycota
Setophaeosphaeria,Ascomycota
Exophiala,Ascomycota
Myriodontium,Ascomycota
Niesslia,Ascomycota
Cephalotrichum,Ascomycota
Enterocarpus,Ascomycota
Orbiliaceae_gen_Incertae_sedis,Ascomycota
Spizellomycetales_gen_Incertae_sedis,Chytridiomycota
Cystofilobasidium,Basidiomycota
Articulospora,Ascomycota
Heydenia,Ascomycota
Stagonospora,Ascomycota
Murispora,Ascomycota
Pyxidiophoraceae_gen_Incertae_sedis,Ascomycota
Phomatospora,Ascomycota
Cyphellophora,Ascomycota
Bacillicladium,Ascomycota
Hypocreales_gen_Incertae_sedis,Ascomycota
Gibellulopsis,Ascomycota
Stachybotrys,Ascomycota
Crocicreas,Ascomycota
Mrakia,Basidiomycota
Orbiliales_gen_Incertae_sedis,Ascomycota
Didymella,Ascomycota
Penicillium,Ascomycota
Kernia,Ascomycota
Hyalorbilia,Ascomycota
Neocucurbitaria,Ascomycota
Paramyrothecium,Ascomycota
Clonostachys,Ascomycota
Lentitheciaceae_gen_Incertae_sedis,Ascomycota
Ascobolus,Ascomycota
Pezizaceae_gen_Incertae_sedis,Ascomycota
Polyphilus,Ascomycota
Hebelomataceae_gen_Incertae_sedis,Basidiomycota
GS11_gen_Incertae_sedis,Rozellomycota
Fusidium,Ascomycota
Ceratobasidium,Basidiomycota
Vandijckella,Ascomycota
Arthrocladium,Ascomycota
Beauveria,Ascomycota
Edenia,Ascomycota
Ochroconis,Ascomycota
Pseudocoleophoma,Ascomycota
Pyrenochaetopsis,Ascomycota
Neodactylaria,Ascomycota
Bisifusarium,Ascomycota
Naganishia,Basidiomycota
Calloriaceae_gen_Incertae_sedis,Ascomycota
Vishniacozyma,Basidiomycota
Cephaliophora,Ascomycota
Apophysomyces,Mucoromycota
Sodiomyces,Ascomycota
Coprinellus,Basidiomycota
Neosetophoma,Ascomycota
Stagonosporopsis,Ascomycota
Spizellomyces,Chytridiomycota
Melanocarpus,Ascomycota
Lecophagus,Ascomycota
Volutella,Ascomycota
Lophiostoma,Ascomycota
Ascobolaceae_gen_Incertae_sedis,Ascomycota
Pezizales_gen_Incertae_sedis,Ascomycota
Preussia,Ascomycota
Subulicystidium,Basidiomycota
Coniothyrium,Ascomycota
Agaricus,Basidiomycota
Malassezia,Basidiomycota
Pyrenochaeta,Ascomycota
Geastrales_gen_Incertae_sedis,Basidiomycota
Saccharomycopsis,Ascomycota
Sphaerulina,Ascomycota
Cytospora,Ascomycota
Sympoventuriaceae_gen_Incertae_sedis,Ascomycota
Leptosphaeria,Ascomycota
Eurotiales_gen_Incertae_sedis,Ascomycota
Pseudodictyosporium,Ascomycota
Fusariella,Ascomycota
Microdochium,Ascomycota
GS37_gen_Incertae_sedis,Ascomycota
Purpureocillium,Ascomycota
Arxiella,Ascomycota
Agaricaceae_gen_Incertae_sedis,Basidiomycota
Absidia,Mucoromycota
Aphelidiomycetes_gen_Incertae_sedis,Aphelidiomycota
Parachaetomium,Ascomycota
Chaetomium,Ascomycota
Ceratobasidiaceae_gen_Incertae_sedis,Basidiomycota
Oedocephalum,Ascomycota
