"","source","target","weight","correlation","PN"
"1","Proteus","Morganella",0.795465292710648,0.795465292710648,"pos"
"2","Proteus","Clostridium",0.638511511100918,0.638511511100918,"pos"
"3","Proteus","Tissierella",0.811262384962224,0.811262384962224,"pos"
"4","Proteus","Serratia",0.63877174609626,-0.63877174609626,"neg"
"5","Proteus","Sporosarcina",0.728664856444003,0.728664856444003,"pos"
"6","Proteus","Mammaliicoccus",0.761642120103348,0.761642120103348,"pos"
"7","Proteus","Jeotgalicoccus",0.786930459470388,0.786930459470388,"pos"
"8","Proteus","Enterococcus",0.779740637885076,0.779740637885076,"pos"
"9","Proteus","Corynebacterium",0.71564179180141,0.71564179180141,"pos"
"10","Proteus","Herminiimonas",0.633151988874313,-0.633151988874313,"neg"
"11","Proteus","Psychrobacter",0.73641229493561,0.73641229493561,"pos"
"12","Proteus","Delftia",0.675673733361271,-0.675673733361271,"neg"
"13","Proteus","Rhodococcus",0.745708059369784,0.745708059369784,"pos"
"14","Proteus","Ruminococcus",0.623273882027225,0.623273882027225,"pos"
"15","Proteus","Paenalcaligenes",0.696758301103905,0.696758301103905,"pos"
"16","Morganella","Tissierella",0.871198887425251,0.871198887425251,"pos"
"17","Morganella","Sporosarcina",0.730020127818643,0.730020127818643,"pos"
"18","Morganella","Mammaliicoccus",0.673371696456994,0.673371696456994,"pos"
"19","Morganella","Jeotgalicoccus",0.75013146978936,0.75013146978936,"pos"
"20","Morganella","Enterococcus",0.702577615416682,0.702577615416682,"pos"
"21","Morganella","Corynebacterium",0.765183951096044,0.765183951096044,"pos"
"22","Morganella","Herminiimonas",0.612568769308238,-0.612568769308238,"neg"
"23","Morganella","Vagococcus",0.622337312215895,0.622337312215895,"pos"
"24","Morganella","Psychrobacter",0.735608300405083,0.735608300405083,"pos"
"25","Morganella","67_14_genus",0.632767617200259,-0.632767617200259,"neg"
"26","Morganella","Rhodococcus",0.725611345610332,0.725611345610332,"pos"
"27","Morganella","Gemmata",0.60632656158298,-0.60632656158298,"neg"
"28","Morganella","Paenalcaligenes",0.779272261413118,0.779272261413118,"pos"
"29","Clostridium","Tissierella",0.73221937154199,0.73221937154199,"pos"
"30","Clostridium","Sporosarcina",0.742370014332406,0.742370014332406,"pos"
"31","Clostridium","Mammaliicoccus",0.737970657049826,0.737970657049826,"pos"
"32","Clostridium","Jeotgalicoccus",0.695776227186413,0.695776227186413,"pos"
"33","Clostridium","Enterococcus",0.689366882817021,0.689366882817021,"pos"
"34","Clostridium","Corynebacterium",0.75746146344269,0.75746146344269,"pos"
"35","Clostridium","Vagococcus",0.605358208938376,0.605358208938376,"pos"
"36","Clostridium","Psychrobacter",0.630385253251357,0.630385253251357,"pos"
"37","Clostridium","Litchfieldia",0.679437853192306,0.679437853192306,"pos"
"38","Clostridium","Rhodococcus",0.752275312855518,0.752275312855518,"pos"
"39","Tissierella","Serratia",0.614657720542574,-0.614657720542574,"neg"
"40","Tissierella","Sporosarcina",0.837267198714045,0.837267198714045,"pos"
"41","Tissierella","Mammaliicoccus",0.78834515000863,0.78834515000863,"pos"
"42","Tissierella","Jeotgalicoccus",0.829585149572449,0.829585149572449,"pos"
"43","Tissierella","Enterococcus",0.748961992650238,0.748961992650238,"pos"
"44","Tissierella","Corynebacterium",0.82931081199485,0.82931081199485,"pos"
"45","Tissierella","Herminiimonas",0.702744231936251,-0.702744231936251,"neg"
"46","Tissierella","Vagococcus",0.677061532642871,0.677061532642871,"pos"
"47","Tissierella","Psychrobacter",0.770699980672272,0.770699980672272,"pos"
"48","Tissierella","Delftia",0.609406764352052,-0.609406764352052,"neg"
"49","Tissierella","Rhodococcus",0.768492818138428,0.768492818138428,"pos"
"50","Tissierella","Paenalcaligenes",0.774863631846735,0.774863631846735,"pos"
"51","Tissierella","Microbacterium",0.607175835077025,0.607175835077025,"pos"
"52","Pseudomonas","Stenotrophomonas",0.673419291139451,0.673419291139451,"pos"
"53","Pseudomonas","Psychrobacillus",0.729295156299686,0.729295156299686,"pos"
"54","Pseudomonas","Mammaliicoccus",0.682940878253724,0.682940878253724,"pos"
"55","Pseudomonas","Achromobacter",0.642254932330689,0.642254932330689,"pos"
"56","Pseudomonas","Jeotgalicoccus",0.648052847516973,0.648052847516973,"pos"
"57","Pseudomonas","Lysinibacillus",0.730561235503202,0.730561235503202,"pos"
"58","Pseudomonas","Paenibacillus",0.650117321058641,0.650117321058641,"pos"
"59","Pseudomonas","Rhodococcus",0.670981730744368,0.670981730744368,"pos"
"60","Pseudomonas","Microbacterium",0.680144797517712,0.680144797517712,"pos"
"61","Romboutsia","Enterococcus",0.616900468856492,0.616900468856492,"pos"
"62","Romboutsia","Lactobacillus",0.693352908690839,0.693352908690839,"pos"
"63","Romboutsia","Turicibacter",0.608187805536496,0.608187805536496,"pos"
"64","Stenotrophomonas","Achromobacter",0.727152039209344,0.727152039209344,"pos"
"65","Stenotrophomonas","Flavobacterium",0.612093106542898,0.612093106542898,"pos"
"66","Stenotrophomonas","Microbacterium",0.766232437211699,0.766232437211699,"pos"
"67","Serratia","Mammaliicoccus",0.652138702950598,-0.652138702950598,"neg"
"68","Serratia","Jeotgalicoccus",0.653811568362432,-0.653811568362432,"neg"
"69","Serratia","Delftia",0.609728121853146,0.609728121853146,"pos"
"70","Serratia","Bryobacter",0.611254169419088,0.611254169419088,"pos"
