"","source","target","weight","correlation","PN"
"1","Fusarium","Mortierella",0.884422113457723,0.884422113457723,"pos"
"2","Fusarium","Acaulium",0.626804764022202,0.626804764022202,"pos"
"3","Fusarium","Mucor",0.802468125263599,0.802468125263599,"pos"
"4","Fusarium","Linnemannia",0.663662174963803,0.663662174963803,"pos"
"5","Fusarium","Pseudogymnoascus",0.90526420225642,0.90526420225642,"pos"
"6","Fusarium","Scopulariopsis",0.641604346132512,0.641604346132512,"pos"
"7","Fusarium","Cheilymenia",0.759147021729571,0.759147021729571,"pos"
"8","Fusarium","Neocosmospora",0.87056332350899,0.87056332350899,"pos"
"9","Fusarium","Botryotrichum",0.841720616869278,0.841720616869278,"pos"
"10","Fusarium","Trichocladium",0.767952046829721,0.767952046829721,"pos"
"11","Fusarium","Penicillium",0.654585679948099,0.654585679948099,"pos"
"12","Fusarium","Cephalotrichum",0.663196273491447,0.663196273491447,"pos"
"13","Fusarium","Dactylonectria",0.830120315198755,0.830120315198755,"pos"
"14","Fusarium","Nectria",0.830512095706689,0.830512095706689,"pos"
"15","Fusarium","Plectosphaerella",0.831149056003201,0.831149056003201,"pos"
"16","Fusarium","Samsoniella",0.603711408127171,0.603711408127171,"pos"
"17","Fusarium","Sarocladium",0.658400100710673,0.658400100710673,"pos"
"18","Mortierella","Acaulium",0.600762204221211,0.600762204221211,"pos"
"19","Mortierella","Mucor",0.753668527231859,0.753668527231859,"pos"
"20","Mortierella","Linnemannia",0.708357489618945,0.708357489618945,"pos"
"21","Mortierella","Pseudogymnoascus",0.851825044441675,0.851825044441675,"pos"
"22","Mortierella","Cheilymenia",0.760502788114412,0.760502788114412,"pos"
"23","Mortierella","Neocosmospora",0.776069651797464,0.776069651797464,"pos"
"24","Mortierella","Botryotrichum",0.836010309473638,0.836010309473638,"pos"
"25","Mortierella","Trichocladium",0.788231258349459,0.788231258349459,"pos"
"26","Mortierella","Penicillium",0.609499441104235,0.609499441104235,"pos"
"27","Mortierella","Dactylonectria",0.790135351414984,0.790135351414984,"pos"
"28","Mortierella","Nectria",0.691849639979085,0.691849639979085,"pos"
"29","Mortierella","Plectosphaerella",0.794025237456311,0.794025237456311,"pos"
"30","Mortierella","Sarocladium",0.694857165834533,0.694857165834533,"pos"
"31","Filobasidium","Cladosporium",0.738194401040592,0.738194401040592,"pos"
"32","Filobasidium","Vishniacozyma",0.674252634705903,0.674252634705903,"pos"
"33","Acaulium","Pseudogymnoascus",0.711561895018104,0.711561895018104,"pos"
"34","Acaulium","Scopulariopsis",0.865579687467186,0.865579687467186,"pos"
"35","Acaulium","Cheilymenia",0.715891003475154,0.715891003475154,"pos"
"36","Acaulium","Neocosmospora",0.767447382241395,0.767447382241395,"pos"
"37","Acaulium","Botryotrichum",0.71335474295918,0.71335474295918,"pos"
