"","source","target","weight","correlation","PN"
"1","Filobasidium","Acaulium",0.64728322338503,-0.64728322338503,"neg"
"2","Filobasidium","Cladosporium",0.848103340123753,0.848103340123753,"pos"
"3","Filobasidium","Pseudogymnoascus",0.628803594353517,-0.628803594353517,"neg"
"4","Filobasidium","Scopulariopsis",0.78951988814259,-0.78951988814259,"neg"
"5","Filobasidium","Neocosmospora",0.797930816670025,-0.797930816670025,"neg"
"6","Filobasidium","Aureobasidium",0.745461860921801,0.745461860921801,"pos"
"7","Filobasidium","Vishniacozyma",0.715575959423492,0.715575959423492,"pos"
"8","Filobasidium","Enterocarpus",0.740293745038927,-0.740293745038927,"neg"
"9","Acaulium","Scopulariopsis",0.773059341670172,0.773059341670172,"pos"
"10","Acaulium","Cheilymenia",0.662632267349375,0.662632267349375,"pos"
"11","Acaulium","Aureobasidium",0.628260299261679,-0.628260299261679,"neg"
"12","Acaulium","Enterocarpus",0.858316285313944,0.858316285313944,"pos"
"13","Cladosporium","Scopulariopsis",0.715100328830738,-0.715100328830738,"neg"
"14","Cladosporium","Neocosmospora",0.676674107014446,-0.676674107014446,"neg"
"15","Cladosporium","Aureobasidium",0.710023901026632,0.710023901026632,"pos"
"16","Cladosporium","Malassezia",0.712916506261824,0.712916506261824,"pos"
"17","Cladosporium","Vishniacozyma",0.665273179590901,0.665273179590901,"pos"
"18","Cladosporium","Pleosporales_gen_Incertae_sedis",0.624058841022997,0.624058841022997,"pos"
"19","Cladosporium","Cephalotrichum",0.62259790691841,-0.62259790691841,"neg"
"20","Cladosporium","Enterocarpus",0.655394299640036,-0.655394299640036,"neg"
"21","Pseudogymnoascus","Neocosmospora",0.68581413055235,0.68581413055235,"pos"
"22","Scopulariopsis","Aureobasidium",0.633236328551792,-0.633236328551792,"neg"
"23","Scopulariopsis","Cephalotrichum",0.625358886164318,0.625358886164318,"pos"
"24","Scopulariopsis","Enterocarpus",0.770937883914089,0.770937883914089,"pos"
"25","Cheilymenia","Botryotrichum",0.621075748163897,0.621075748163897,"pos"
"26","Cheilymenia","Trichocladium",0.724424177731258,0.724424177731258,"pos"
"27","Cheilymenia","Enterocarpus",0.665837485773348,0.665837485773348,"pos"
"28","Neocosmospora","Aureobasidium",0.618386879485727,-0.618386879485727,"neg"
"29","Aureobasidium","Naganishia",0.665616490790355,0.665616490790355,"pos"
"30","Aureobasidium","Vishniacozyma",0.606563520917588,0.606563520917588,"pos"
"31","Botryotrichum","Trichocladium",0.817958402859388,0.817958402859388,"pos"
"32","Malassezia","Pleosporales_gen_Incertae_sedis",0.728625608060025,0.728625608060025,"pos"
"33","Naganishia","Pichia",0.610105203125929,0.610105203125929,"pos"
"34","Trichocladium","Dactylonectria",0.611892036228775,0.611892036228775,"pos"
"35","Dothiora","Sphaerulina",0.700338713055674,0.700338713055674,"pos"
"36","Pleosporales_gen_Incertae_sedis","Pseudoarthrographis",0.666065866085894,0.666065866085894,"pos"
"37","Pleosporales_gen_Incertae_sedis","Articulospora",0.646503582412441,0.646503582412441,"pos"
"38","Cephalotrichum","Enterocarpus",0.608980833181825,0.608980833181825,"pos"
"39","Spizellomycetales_gen_Incertae_sedis","Stachybotrys",0.680766959302471,0.680766959302471,"pos"
"40","Spizellomycetales_gen_Incertae_sedis","Rhodosporidiobolus",0.715678085420547,0.715678085420547,"pos"
"41","Spizellomycetales_gen_Incertae_sedis","Neocucurbitaria",0.706885913843603,0.706885913843603,"pos"
"42","Spizellomycetales_gen_Incertae_sedis","Sphaerulina",0.689213765997513,0.689213765997513,"pos"
"43","Spizellomycetales_gen_Incertae_sedis","Suillus",0.715678085420547,0.715678085420547,"pos"
"44","Mrakia","Vandijckella",0.826595623951066,0.826595623951066,"pos"
"45","Pseudoarthrographis","Articulospora",0.701319992257164,0.701319992257164,"pos"
"46","Pseudoarthrographis","Cystofilobasidium",0.617125162551729,0.617125162551729,"pos"
"47","Pseudoarthrographis","Malasseziaceae_gen_Incertae_sedis",0.764558247008228,0.764558247008228,"pos"
"48","Articulospora","Malasseziaceae_gen_Incertae_sedis",0.61030055100342,0.61030055100342,"pos"
"49","Gyrothrix","Herpotrichiellaceae_gen_Incertae_sedis",0.715678085420547,0.715678085420547,"pos"
"50","Coniosporium","Herpotrichiellaceae_gen_Incertae_sedis",0.622538638542181,0.622538638542181,"pos"
"51","Trichomeriaceae_gen_Incertae_sedis","Herpotrichiellaceae_gen_Incertae_sedis",0.655324372484214,0.655324372484214,"pos"
"52","Setophaeosphaeria","Bradymyces",0.685452798356714,0.685452798356714,"pos"
"53","Stachybotrys","Striaticonidium",0.715678085420547,0.715678085420547,"pos"
"54","Stachybotrys","Wickerhamomyces",0.715678085420547,0.715678085420547,"pos"
"55","Stachybotrys","Eurotiales_gen_Incertae_sedis",0.715678085420547,0.715678085420547,"pos"
"56","Herpotrichiellaceae_gen_Incertae_sedis","GS11_gen_Incertae_sedis",0.680766959302471,0.680766959302471,"pos"
"57","Lichtheimia","Rhizomucor",0.752572618284912,0.752572618284912,"pos"
"58","Pichia","Wickerhamomyces",0.605970292604478,0.605970292604478,"pos"
"59","Rhodosporidiobolus","Suillus",1,1,"pos"
"60","GS11_gen_Incertae_sedis","Eurotiales_gen_Incertae_sedis",0.680766959302471,0.680766959302471,"pos"
"61","Trimorphomycetaceae_gen_Incertae_sedis","Arxiella",0.680766959302471,0.680766959302471,"pos"
