"","label","phylum"
"1","Sporosarcina","Bacillota"
"2","Pseudomonas","Pseudomonadota"
"3","Psychrobacter","Pseudomonadota"
"4","Proteus","Pseudomonadota"
"5","Paenalcaligenes","Pseudomonadota"
"6","Stenotrophomonas","Pseudomonadota"
"7","Achromobacter","Pseudomonadota"
"8","Pyrinomonadaceae_genus","Acidobacteriota"
"9","Vicinamibacteraceae_genus","Acidobacteriota"
"10","Psychrobacillus","Bacillota"
"11","Jeotgalicoccus","Bacillota"
"12","Corynebacterium","Actinomycetota"
"13","Vicinamibacterales_genus","Acidobacteriota"
"14","WD2101_soil_group_genus","Planctomycetota"
"15","Mammaliicoccus","Bacillota"
"16","Gemmatimonadaceae_genus","Gemmatimonadota"
"17","Microvirga","Pseudomonadota"
"18","Rhodococcus","Actinomycetota"
"19","Morganella","Pseudomonadota"
"20","Escherichia-Shigella","Pseudomonadota"
"21","Sphingobacterium","Bacteroidota"
"22","Chryseobacterium","Bacteroidota"
"23","Solibacillus","Bacillota"
"24","Subgroup_7_genus","Acidobacteriota"
"25","Ferruginibacter","Bacteroidota"
"26","bacteriap25_genus","Myxococcota"
"27","Advenella","Pseudomonadota"
"28","UTCFX1","Chloroflexota"
"29","67_14_genus","Actinomycetota"
"30","Siminovitchia","Bacillota"
"31","Lysinibacillus","Bacillota"
"32","Blastococcus","Actinomycetota"
"33","Domibacillus","Bacillota"
"34","Massilia","Pseudomonadota"
"35","Pirellula","Planctomycetota"
"36","Roseiflexaceae_genus","Chloroflexota"
"37","Pir4_lineage","Planctomycetota"
"38","Tissierella","Bacillota"
"39","MND1","Pseudomonadota"
"40","Flavobacterium","Bacteroidota"
"41","KD4-96_genus","Chloroflexota"
"42","Actinomarinales_genus","Actinomycetota"
"43","Rokubacteriales_genus","Methylomirabilota"
"44","Skermanella","Pseudomonadota"
"45","Subgroup_10","Acidobacteriota"
"46","Microscillaceae_genus","Bacteroidota"
"47","Nocardioides","Actinomycetota"
"48","TRA3-20_genus","Pseudomonadota"
"49","Ardenticatenales_genus","Chloroflexota"
"50","Streptomyces","Actinomycetota"
"51","Gaiella","Actinomycetota"
"52","Lysobacter","Pseudomonadota"
"53","Steroidobacter","Pseudomonadota"
"54","Gaiellales_genus","Actinomycetota"
"55","Solirubrobacter","Actinomycetota"
"56","JG30-KF-CM45_genus","Chloroflexota"
"57","Mycoavidus","Pseudomonadota"
"58","Agromyces","Actinomycetota"
"59","Neobacillus","Bacillota"
"60","Chryseolinea","Bacteroidota"
"61","TK10_genus","Chloroflexota"
"62","Paenibacillus","Bacillota"
"63","MB-A2-108_genus","Actinomycetota"
"64","Peribacillus","Bacillota"
"65","Sphingomonas","Pseudomonadota"
"66","Paenarthrobacter","Actinomycetota"
"67","Gemmataceae_genus","Planctomycetota"
"68","Pseudaminobacter","Pseudomonadota"
"69","Microlunatus","Actinomycetota"
"70","Nitrospira","Nitrospirota"
"71","SC-I-84_genus","Pseudomonadota"
"72","Bryobacter","Acidobacteriota"
"73","A4b_genus","Chloroflexota"
"74","0319-7L14_genus","Actinomycetota"
"75","Microbacterium","Actinomycetota"
"76","Arenimicrobium","Acidobacteriota"
"77","Pirellulaceae_genus","Planctomycetota"
"78","Terrimonas","Bacteroidota"
"79","S0134_terrestrial_group_genus","Gemmatimonadota"
"80","Flavisolibacter","Bacteroidota"
"81","Entotheonellaceae_genus","Entotheonellaeota"
"82","Xanthobacteraceae_genus","Pseudomonadota"
"83","P2-11E_genus","Chloroflexota"
"84","S085_genus","Chloroflexota"
"85","11_24_genus","Acidobacteriota"
"86","Croceibacterium","Pseudomonadota"
"87","Ensifer","Pseudomonadota"
"88","Dongia","Pseudomonadota"
"89","AKAU4049_genus","Gemmatimonadota"
"90","AKIW781_genus","Chloroflexota"
"91","Haliangiaceae_genus","Myxococcota"
"92","Saprospiraceae_genus","Bacteroidota"
"93","Ohtaekwangia","Bacteroidota"
"94","Blastocatellaceae_genus","Acidobacteriota"
"95","Chitinophagaceae_genus","Bacteroidota"
