"","label","phylum"
"1","Proteus","Pseudomonadota"
"2","Morganella","Pseudomonadota"
"3","Clostridium","Bacillota"
"4","Tissierella","Bacillota"
"5","Pseudomonas","Pseudomonadota"
"6","Romboutsia","Bacillota"
"7","Stenotrophomonas","Pseudomonadota"
"8","Serratia","Pseudomonadota"
"9","Sporosarcina","Bacillota"
"10","Psychrobacillus","Bacillota"
"11","Mammaliicoccus","Bacillota"
"12","Achromobacter","Pseudomonadota"
"13","Jeotgalicoccus","Bacillota"
"14","Lysinibacillus","Bacillota"
"15","Enterococcus","Bacillota"
"16","Corynebacterium","Actinomycetota"
"17","Herminiimonas","Pseudomonadota"
"18","Lactobacillus","Bacillota"
"19","Vagococcus","Bacillota"
"20","Psychrobacter","Pseudomonadota"
"21","Turicibacter","Bacillota"
"22","Litchfieldia","Bacillota"
"23","Massilia","Pseudomonadota"
"24","Solibacillus","Bacillota"
"25","Muribaculaceae_genus","Bacteroidota"
"26","Delftia","Pseudomonadota"
"27","Ligilactobacillus","Bacillota"
"28","Pir4_lineage","Planctomycetota"
"29","Pirellula","Planctomycetota"
"30","WD2101_soil_group_genus","Planctomycetota"
"31","Bryobacter","Acidobacteriota"
"32","Erysipelotrichaceae_genus","Bacillota"
"33","Paenibacillus","Bacillota"
"34","Actinomarinales_genus","Actinomycetota"
"35","Gaiella","Actinomycetota"
"36","67_14_genus","Actinomycetota"
"37","Subgroup_2_genus","Acidobacteriota"
"38","UTCFX1","Chloroflexota"
"39","Skermanella","Pseudomonadota"
"40","Sphingomonas","Pseudomonadota"
"41","Xanthobacteraceae_genus","Pseudomonadota"
"42","Rhodococcus","Actinomycetota"
"43","Methylobacterium","Pseudomonadota"
"44","Ruminococcus","Bacillota"
"45","TK10_genus","Chloroflexota"
"46","JG30-KF-CM45_genus","Chloroflexota"
"47","Terriglobales_genus","Acidobacteriota"
"48","Verticiella","Pseudomonadota"
"49","Terrimonas","Bacteroidota"
"50","Cutibacterium","Actinomycetota"
"51","Gemmata","Planctomycetota"
"52","Chitinophagaceae_genus","Bacteroidota"
"53","Flavobacterium","Bacteroidota"
"54","Paenalcaligenes","Pseudomonadota"
"55","A4b_genus","Chloroflexota"
"56","Ardenticatenales_genus","Chloroflexota"
"57","Pedobacter","Bacteroidota"
"58","Pirellulaceae_genus","Planctomycetota"
"59","Microbacterium","Actinomycetota"
"60","Thermus","Deinococcota"
