"","label","phylum"
"1","Mortierella","Mortierellomycota"
"2","Fusarium","Ascomycota"
"3","Acaulium","Ascomycota"
"4","Chaetothyriales_gen_Incertae_sedis","Ascomycota"
"5","Linnemannia","Mortierellomycota"
"6","Knufia","Ascomycota"
"7","Cladosporium","Ascomycota"
"8","Cheilymenia","Ascomycota"
"9","Neocosmospora","Ascomycota"
"10","Scopulariopsis","Ascomycota"
"11","Pseudogymnoascus","Ascomycota"
"12","Filobasidium","Basidiomycota"
"13","Solicoccozyma","Basidiomycota"
"14","Mucor","Mucoromycota"
"15","Trichomeriaceae_gen_Incertae_sedis","Ascomycota"
"16","Botryotrichum","Ascomycota"
"17","Aureobasidium","Ascomycota"
"18","Alternaria","Ascomycota"
"19","Phaeosphaeriaceae_gen_Incertae_sedis","Ascomycota"
"20","Metarhizium","Ascomycota"
"21","Bradymyces","Ascomycota"
"22","Fungi_gen_Incertae_sedis","Fungi_phy_Incertae_sedis"
"23","Pseudoarthrographis","Ascomycota"
"24","Dactylonectria","Ascomycota"
"25","Pleosporales_gen_Incertae_sedis","Ascomycota"
"26","Paraphoma","Ascomycota"
"27","Cephalotrichum","Ascomycota"
"28","Coniosporium","Ascomycota"
"29","Trichocladium","Ascomycota"
"30","Spizellomycetales_gen_Incertae_sedis","Chytridiomycota"
"31","Nectria","Ascomycota"
"32","Acremonium","Ascomycota"
"33","Dothiora","Ascomycota"
"34","Geopora","Ascomycota"
"35","Niesslia","Ascomycota"
"36","Plectosphaerella","Ascomycota"
"37","Orbiliaceae_gen_Incertae_sedis","Ascomycota"
"38","Orbiliales_gen_Incertae_sedis","Ascomycota"
"39","Setophaeosphaeria","Ascomycota"
"40","Naganishia","Basidiomycota"
"41","Tetracladium","Ascomycota"
"42","Minimedusa","Basidiomycota"
"43","Articulospora","Ascomycota"
"44","Mrakia","Basidiomycota"
"45","Herpotrichiellaceae_gen_Incertae_sedis","Ascomycota"
"46","Exophiala","Ascomycota"
"47","Crocicreas","Ascomycota"
"48","Didymella","Ascomycota"
"49","Phomatospora","Ascomycota"
"50","Vishniacozyma","Basidiomycota"
"51","Enterocarpus","Ascomycota"
"52","Cystofilobasidium","Basidiomycota"
"53","Paramyrothecium","Ascomycota"
"54","Cyphellophora","Ascomycota"
"55","Lentitheciaceae_gen_Incertae_sedis","Ascomycota"
"56","Lobulomycetales_gen_Incertae_sedis","Chytridiomycota"
"57","Stagonosporopsis","Ascomycota"
"58","Beauveria","Ascomycota"
"59","Heydenia","Ascomycota"
"60","Bacillicladium","Ascomycota"
"61","Rozellomycota_gen_Incertae_sedis","Rozellomycota"
"62","Volutella","Ascomycota"
"63","Hebeloma","Basidiomycota"
"64","Ochroconis","Ascomycota"
"65","Pseudocoleophoma","Ascomycota"
"66","Sympoventuriaceae_gen_Incertae_sedis","Ascomycota"
"67","Leptosphaeria","Ascomycota"
"68","Clonostachys","Ascomycota"
"69","Stagonospora","Ascomycota"
"70","Torula","Ascomycota"
"71","Hypocreales_gen_Incertae_sedis","Ascomycota"
"72","Neosetophoma","Ascomycota"
"73","Ascobolus","Ascomycota"
"74","Coniothyrium","Ascomycota"
"75","Vandijckella","Ascomycota"
"76","Lysurus","Basidiomycota"
"77","Neocucurbitaria","Ascomycota"
"78","Neodactylaria","Ascomycota"
"79","Mortierellaceae_gen_Incertae_sedis","Mortierellomycota"
"80","Rhizophlyctis","Chytridiomycota"
"81","Trichothecium","Ascomycota"
"82","Tulostoma","Basidiomycota"
"83","Podospora","Ascomycota"
"84","Preussia","Ascomycota"
"85","Subulicystidium","Basidiomycota"
"86","Stachybotrys","Ascomycota"
"87","Gibellulopsis","Ascomycota"
