"","label","phylum"
"1","Fusarium","Ascomycota"
"2","Mortierella","Mortierellomycota"
"3","Filobasidium","Basidiomycota"
"4","Acaulium","Ascomycota"
"5","Cladosporium","Ascomycota"
"6","Actinomucor","Mucoromycota"
"7","Mucor","Mucoromycota"
"8","Linnemannia","Mortierellomycota"
"9","Pseudogymnoascus","Ascomycota"
"10","Scopulariopsis","Ascomycota"
"11","Cheilymenia","Ascomycota"
"12","Neocosmospora","Ascomycota"
"13","Botryotrichum","Ascomycota"
"14","Solicoccozyma","Basidiomycota"
"15","Trichocladium","Ascomycota"
"16","Vishniacozyma","Basidiomycota"
"17","Myriodontium","Ascomycota"
"18","Penicillium","Ascomycota"
"19","Pleosporales_gen_Incertae_sedis","Ascomycota"
"20","Cephalotrichum","Ascomycota"
"21","Spizellomycetales_gen_Incertae_sedis","Chytridiomycota"
"22","Enterocarpus","Ascomycota"
"23","Dactylonectria","Ascomycota"
"24","Mrakia","Basidiomycota"
"25","Pseudoarthrographis","Ascomycota"
"26","Acremonium","Ascomycota"
"27","Nectria","Ascomycota"
"28","Plectosphaerella","Ascomycota"
"29","Vandijckella","Ascomycota"
"30","Stachybotrys","Ascomycota"
"31","Malasseziaceae_gen_Incertae_sedis","Basidiomycota"
"32","Lichtheimia","Mucoromycota"
"33","Pichia","Ascomycota"
"34","Rhodosporidiobolus","Basidiomycota"
"35","Saccharomyces","Ascomycota"
"36","Samsoniella","Ascomycota"
"37","Gibellulopsis","Ascomycota"
"38","GS11_gen_Incertae_sedis","Rozellomycota"
"39","Rhizomucor","Mucoromycota"
"40","Bradymyces","Ascomycota"
"41","Inocybe","Basidiomycota"
"42","Sarocladium","Ascomycota"
"43","Trimorphomycetaceae_gen_Incertae_sedis","Basidiomycota"
"44","Arxiella","Ascomycota"
"45","Suillus","Basidiomycota"
