"","label","phylum"
"1","Sporosarcina","Bacillota"
"2","Pseudomonas","Pseudomonadota"
"3","Psychrobacter","Pseudomonadota"
"4","Proteus","Pseudomonadota"
"5","Paenalcaligenes","Pseudomonadota"
"6","Stenotrophomonas","Pseudomonadota"
"7","Achromobacter","Pseudomonadota"
"8","Pyrinomonadaceae_genus","Acidobacteriota"
"9","Vicinamibacteraceae_genus","Acidobacteriota"
"10","Psychrobacillus","Bacillota"
"11","Jeotgalicoccus","Bacillota"
"12","Corynebacterium","Actinomycetota"
"13","Vicinamibacterales_genus","Acidobacteriota"
"14","WD2101_soil_group_genus","Planctomycetota"
"15","Mammaliicoccus","Bacillota"
"16","Gemmatimonadaceae_genus","Gemmatimonadota"
"17","Microvirga","Pseudomonadota"
"18","Rhodococcus","Actinomycetota"
"19","Morganella","Pseudomonadota"
"20","Chryseobacterium","Bacteroidota"
"21","Solibacillus","Bacillota"
"22","Subgroup_7_genus","Acidobacteriota"
"23","Ferruginibacter","Bacteroidota"
"24","bacteriap25_genus","Myxococcota"
"25","UTCFX1","Chloroflexota"
"26","67_14_genus","Actinomycetota"
"27","Siminovitchia","Bacillota"
"28","Blastococcus","Actinomycetota"
"29","Massilia","Pseudomonadota"
"30","Pirellula","Planctomycetota"
"31","Roseiflexaceae_genus","Chloroflexota"
"32","Pir4_lineage","Planctomycetota"
"33","Tissierella","Bacillota"
"34","MND1","Pseudomonadota"
"35","Flavobacterium","Bacteroidota"
"36","KD4-96_genus","Chloroflexota"
"37","Actinomarinales_genus","Actinomycetota"
"38","Rokubacteriales_genus","Methylomirabilota"
"39","Skermanella","Pseudomonadota"
"40","Subgroup_10","Acidobacteriota"
"41","Microscillaceae_genus","Bacteroidota"
"42","Nocardioides","Actinomycetota"
"43","TRA3-20_genus","Pseudomonadota"
"44","Ardenticatenales_genus","Chloroflexota"
"45","Streptomyces","Actinomycetota"
"46","Gaiella","Actinomycetota"
"47","Lysobacter","Pseudomonadota"
"48","Steroidobacter","Pseudomonadota"
"49","Gaiellales_genus","Actinomycetota"
"50","Solirubrobacter","Actinomycetota"
"51","JG30-KF-CM45_genus","Chloroflexota"
"52","Agromyces","Actinomycetota"
"53","Neobacillus","Bacillota"
"54","Chryseolinea","Bacteroidota"
"55","TK10_genus","Chloroflexota"
"56","MB-A2-108_genus","Actinomycetota"
"57","Peribacillus","Bacillota"
"58","Sphingomonas","Pseudomonadota"
"59","Gemmataceae_genus","Planctomycetota"
"60","Pseudaminobacter","Pseudomonadota"
"61","Microlunatus","Actinomycetota"
"62","Nitrospira","Nitrospirota"
"63","SC-I-84_genus","Pseudomonadota"
"64","Bryobacter","Acidobacteriota"
"65","A4b_genus","Chloroflexota"
"66","0319-7L14_genus","Actinomycetota"
"67","Microbacterium","Actinomycetota"
"68","Arenimicrobium","Acidobacteriota"
"69","Pirellulaceae_genus","Planctomycetota"
"70","Terrimonas","Bacteroidota"
"71","S0134_terrestrial_group_genus","Gemmatimonadota"
"72","Flavisolibacter","Bacteroidota"
"73","Entotheonellaceae_genus","Entotheonellaeota"
"74","Xanthobacteraceae_genus","Pseudomonadota"
"75","P2-11E_genus","Chloroflexota"
"76","S085_genus","Chloroflexota"
"77","11_24_genus","Acidobacteriota"
"78","Croceibacterium","Pseudomonadota"
"79","Ensifer","Pseudomonadota"
"80","Dongia","Pseudomonadota"
"81","AKAU4049_genus","Gemmatimonadota"
"82","AKIW781_genus","Chloroflexota"
"83","Haliangiaceae_genus","Myxococcota"
"84","Saprospiraceae_genus","Bacteroidota"
"85","Ohtaekwangia","Bacteroidota"
"86","Blastocatellaceae_genus","Acidobacteriota"
"87","Chitinophagaceae_genus","Bacteroidota"
