"","label","phylum"
"1","Pseudomonas","Pseudomonadota"
"2","Escherichia-Shigella","Pseudomonadota"
"3","Stenotrophomonas","Pseudomonadota"
"4","Serratia","Pseudomonadota"
"5","Psychrobacillus","Bacillota"
"6","Peribacillus","Bacillota"
"7","Jeotgalicoccus","Bacillota"
"8","Herminiimonas","Pseudomonadota"
"9","Vicinamibacteraceae_genus","Acidobacteriota"
"10","Vicinamibacterales_genus","Acidobacteriota"
"11","Turicibacter","Bacillota"
"12","bacteriap25_genus","Myxococcota"
"13","Massilia","Pseudomonadota"
"14","Neobacillus","Bacillota"
"15","Pyrinomonadaceae_genus","Acidobacteriota"
"16","Delftia","Pseudomonadota"
"17","Ligilactobacillus","Bacillota"
"18","Microvirga","Pseudomonadota"
"19","Gemmataceae_genus","Planctomycetota"
"20","Gaiellales_genus","Actinomycetota"
"21","Blastococcus","Actinomycetota"
"22","Streptomyces","Actinomycetota"
"23","Pir4_lineage","Planctomycetota"
"24","Pirellula","Planctomycetota"
"25","Gemmatimonadaceae_genus","Gemmatimonadota"
"26","KD4-96_genus","Chloroflexota"
"27","WD2101_soil_group_genus","Planctomycetota"
"28","Bryobacter","Acidobacteriota"
"29","Erysipelotrichaceae_genus","Bacillota"
"30","Actinomarinales_genus","Actinomycetota"
"31","Nocardioides","Actinomycetota"
"32","Gaiella","Actinomycetota"
"33","Nitrospira","Nitrospirota"
"34","67_14_genus","Actinomycetota"
"35","Subgroup_2_genus","Acidobacteriota"
"36","UTCFX1","Chloroflexota"
"37","Roseiflexaceae_genus","Chloroflexota"
"38","Skermanella","Pseudomonadota"
"39","Sphingomonas","Pseudomonadota"
"40","Xanthobacteraceae_genus","Pseudomonadota"
"41","TK10_genus","Chloroflexota"
"42","MND1","Pseudomonadota"
"43","JG30-KF-CM45_genus","Chloroflexota"
"44","Terriglobales_genus","Acidobacteriota"
"45","Chryseobacterium","Bacteroidota"
"46","MB-A2-108_genus","Actinomycetota"
"47","Terrimonas","Bacteroidota"
"48","Cutibacterium","Actinomycetota"
"49","Ferruginibacter","Bacteroidota"
"50","UCG-005","Bacillota"
"51","Comamonas","Pseudomonadota"
"52","Gemmata","Planctomycetota"
"53","Chitinophagaceae_genus","Bacteroidota"
"54","S085_genus","Chloroflexota"
"55","UCG-010_genus","Bacillota"
"56","A4b_genus","Chloroflexota"
"57","Solirubrobacter","Actinomycetota"
"58","Ardenticatenales_genus","Chloroflexota"
"59","Haliangiaceae_genus","Myxococcota"
"60","Planctomycetales_genus","Planctomycetota"
"61","Brevundimonas","Pseudomonadota"
"62","Pedobacter","Bacteroidota"
"63","Pirellulaceae_genus","Planctomycetota"
"64","Thermus","Deinococcota"
"65","Lactococcus","Bacillota"
