"","label","phylum"
"1","Filobasidium","Basidiomycota"
"2","Acaulium","Ascomycota"
"3","Cladosporium","Ascomycota"
"4","Pseudogymnoascus","Ascomycota"
"5","Scopulariopsis","Ascomycota"
"6","Cheilymenia","Ascomycota"
"7","Neocosmospora","Ascomycota"
"8","Aureobasidium","Ascomycota"
"9","Botryotrichum","Ascomycota"
"10","Malassezia","Basidiomycota"
"11","Naganishia","Basidiomycota"
"12","Trichocladium","Ascomycota"
"13","Dothiora","Ascomycota"
"14","Vishniacozyma","Basidiomycota"
"15","Pleosporales_gen_Incertae_sedis","Ascomycota"
"16","Cephalotrichum","Ascomycota"
"17","Spizellomycetales_gen_Incertae_sedis","Chytridiomycota"
"18","Enterocarpus","Ascomycota"
"19","Dactylonectria","Ascomycota"
"20","Mrakia","Basidiomycota"
"21","Pseudoarthrographis","Ascomycota"
"22","Articulospora","Ascomycota"
"23","Gyrothrix","Ascomycota"
"24","Coniosporium","Ascomycota"
"25","Cystofilobasidium","Basidiomycota"
"26","Trichomeriaceae_gen_Incertae_sedis","Ascomycota"
"27","Vandijckella","Ascomycota"
"28","Setophaeosphaeria","Ascomycota"
"29","Stachybotrys","Ascomycota"
"30","Malasseziaceae_gen_Incertae_sedis","Basidiomycota"
"31","Herpotrichiellaceae_gen_Incertae_sedis","Ascomycota"
"32","Striaticonidium","Ascomycota"
"33","Lichtheimia","Mucoromycota"
"34","Pichia","Ascomycota"
"35","Rhodosporidiobolus","Basidiomycota"
"36","Neocucurbitaria","Ascomycota"
"37","GS11_gen_Incertae_sedis","Rozellomycota"
"38","Wickerhamomyces","Ascomycota"
"39","Rhizomucor","Mucoromycota"
"40","Sphaerulina","Ascomycota"
"41","Bradymyces","Ascomycota"
"42","Eurotiales_gen_Incertae_sedis","Ascomycota"
"43","Trimorphomycetaceae_gen_Incertae_sedis","Basidiomycota"
"44","Arxiella","Ascomycota"
"45","Suillus","Basidiomycota"
